...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use a fork to create a unique pattern in clay or playdough,use a fork to create a unique pattern in clay or playdough,fork,fork,1.01225,0.88919,1.01978,0.96759,0.94109,0.96598,21931.90294
1,2,creative,2 Use a fork to create a makeshift hairbrush or comb,use a fork to create a makeshift hairbrush or comb,fork,fork,0.97224,1.10824,1.07027,0.96306,0.9412,1.011,-1420.82197
2,3,creative,3 Use a fork to create a decorative border on a cake or pie,use a fork to create a decorative border on a cake or pie,fork,fork,0.90511,0.8544700000000001,1.07494,0.9678599999999999,0.94116,0.94871,-21201.14085
3,4,creative,4 Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces,use a fork to create a diy jewelry holder by bending the prongs to hold earrings or necklaces,fork,fork,1.07684,1.01009,1.09844,0.9678599999999999,1.05884,1.04241,3684.88511
4,5,creative,5 Use a fork to create a unique texture on a painting or drawing,use a fork to create a unique texture on a painting or drawing,fork,fork,0.99611,1.1005,0.92549,0.9678599999999999,1.0587,1.00973,-1068.31636
5,6,creative,6 Use a fork to create a makeshift back scratcher,use a fork to create a makeshift back scratcher,fork,fork,0.9751,0.89919,0.95104,0.96832,1.05887,0.9705,-2678.79789
6,7,creative,7 Use a fork to create a unique design on a candle by pressing the prongs into the wax,use a fork to create a unique design on a candle by pressing the prongs into the wax,fork,fork,0.89385,0.89395,0.93141,0.9678599999999999,0.94115,0.92564,-4716.21799
7,8,creative,8 Use a fork to create a makeshift plant marker by writing the name of the plant on the handle,use a fork to create a makeshift plant marker by writing the name of the plant on the handle,fork,fork,0.93162,1.10827,0.92991,0.9678599999999999,0.94115,0.97576,-2860.13469
8,9,creative,9 Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay,use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay,fork,fork,0.90759,0.88871,0.92724,0.9678599999999999,1.05886,0.95005,-20079.13481
9,10,creative,10 Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface,use a fork to create a makeshift drumstick and play a rhythm on a table or other surface,fork,fork,0.93162,1.02901,1.01416,0.9678599999999999,0.94115,0.97676,-11866.11221
