...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 A book can be used as a makeshift laptop stand to elevate the screen to eye level,a book can be used as a makeshift laptop stand to elevate the screen to eye level,book,book,0.97964,0.98811,0.94804,0.96613,1.22832,1.02205,0.01139
1,2,creative,2 Pages from a book can be folded into origami shapes to create unique decorations,pages from a book can be folded into origami shapes to create unique decorations,book,book,1.09795,0.98956,0.96115,0.96614,1.30861,1.06468,0.07062
2,3,creative,3 A book can be hollowed out and used as a secret storage compartment,a book can be hollowed out and used as a secret storage compartment,book,book,0.93991,1.04382,1.07342,0.96616,1.20089,1.04484,0.01895
3,4,creative,4 Pages from a book can be cut into strips and woven into a basket,pages from a book can be cut into strips and woven into a basket,book,book,0.8531,0.93387,1.04472,0.96613,1.03624,0.96681,-0.07808
4,5,creative,5 A book can be used as a makeshift doorstop,a book can be used as a makeshift doorstop,book,book,1.03836,1.02887,0.95065,0.9661,1.21982,1.04076,0.04224
5,6,creative,6 Pages from a book can be used as wrapping paper for gifts,pages from a book can be used as wrapping paper for gifts,book,book,1.09849,0.98906,0.96059,0.96614,1.26227,1.05531,0.06144
6,7,creative,7 A book can be used as a makeshift weight for exercise,a book can be used as a makeshift weight for exercise,book,book,0.91522,1.00251,0.95742,0.96599,0.78327,0.92488,-0.09455
7,8,creative,8 Pages from a book can be used to create a unique collage or art piece,pages from a book can be used to create a unique collage or art piece,book,book,1.11637,1.0153,0.98148,0.96613,1.21693,1.05924,0.06808
8,9,creative,9 A book can be used as a makeshift pillow or cushion,a book can be used as a makeshift pillow or cushion,book,book,0.91211,1.00321,0.87569,0.96607,0.75324,0.90206,-0.10869
9,10,creative,10 Pages from a book can be used to create a unique and personalized journal or scrapbook,pages from a book can be used to create a unique and personalized journal or scrapbook,book,book,1.0439,0.97985,1.04443,0.96613,0.76319,0.9595,-0.05181
10,11,creative,1 A book can be used as a makeshift laptop stand to elevate the screen to eye level,a book can be used as a makeshift laptop stand to elevate the screen to eye level,book,book,0.97964,0.98811,0.94804,0.96613,1.22832,1.02205,0.01139
11,12,creative,2 Pages from a book can be folded into origami shapes to create unique decorations,pages from a book can be folded into origami shapes to create unique decorations,book,book,1.09795,0.98956,0.96115,0.96614,1.30861,1.06468,0.07062
12,13,creative,3 A book can be hollowed out and used as a secret storage compartment,a book can be hollowed out and used as a secret storage compartment,book,book,0.93991,1.04382,1.07342,0.96616,1.20089,1.04484,0.01895
13,14,creative,4 Pages from a book can be cut into strips and woven into a basket,pages from a book can be cut into strips and woven into a basket,book,book,0.8531,0.93387,1.04472,0.96613,1.03624,0.96681,-0.07808
