...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,0.88045,1.0176,0.94901,0.96095,1.1051,0.98262,-3.3e-4
1,2,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.01667,0.97812,1.08076,0.96249,1.07835,1.02328,0.07353
2,3,creative,3 Tie a rope around a tree to create a makeshift clothesline,tie a rope around a tree to create a makeshift clothesline,rope,rope,1.13673,0.94017,1.2340200000000001,0.96124,1.1050200000000001,1.07544,0.26489
3,4,creative,4 Use a rope to create a DIY rope ladder for a treehouse or fort,use a rope to create a diy rope ladder for a treehouse or fort,rope,rope,1.15223,1.01059,1.10757,0.96097,1.10521,1.06731,-0.02624
4,5,creative,5 Create a rope obstacle course for kids or adults,create a rope obstacle course for kids or adults,rope,rope,0.86647,0.98692,0.84526,0.96204,0.89401,0.91094,0.06389
5,6,creative,6 Use a rope to create a DIY dog leash or harness,use a rope to create a diy dog leash or harness,rope,rope,1.11613,1.07931,1.04188,0.95894,1.10082,1.05942,-0.04196
6,7,creative,7 Use a rope to create a DIY plant hanger,use a rope to create a diy plant hanger,rope,rope,1.15851,0.99274,0.96379,0.96243,0.89511,0.99452,-0.09189
7,8,creative,8 Create a rope bridge over a small stream or creek,create a rope bridge over a small stream or creek,rope,rope,1.01759,0.90735,0.90795,0.96156,1.10483,0.97986,-0.23779
8,9,creative,9 Use a rope to create a DIY jump rope for exercise,use a rope to create a diy jump rope for exercise,rope,rope,1.11865,0.96313,1.11939,0.96297,1.10407,1.05364,-0.02993
9,10,creative,10 Use a rope to create a DIY pulley system for lifting heavy objects,use a rope to create a diy pulley system for lifting heavy objects,rope,rope,1.16808,0.90988,0.97499,0.96099,0.89598,0.98198,0.0187
10,11,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,0.88045,1.0176,0.94901,0.96095,1.1051,0.98262,-3.3e-4
11,12,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.01667,0.97812,1.08076,0.96249,1.07835,1.02328,0.07353
12,13,creative,3 Tie a rope around a tree to create a makeshift clothesline,tie a rope around a tree to create a makeshift clothesline,rope,rope,1.13673,0.94017,1.2340200000000001,0.96124,1.1050200000000001,1.07544,0.26489
13,14,creative,4 Use a rope to create a DIY rope ladder for a treehouse or fort,use a rope to create a diy rope ladder for a treehouse or fort,rope,rope,1.15223,1.01059,1.10757,0.96097,1.10521,1.06731,-0.02624
14,15,creative,5 Create a rope obstacle course for kids or adults,create a rope obstacle course for kids or adults,rope,rope,0.86647,0.98692,0.84526,0.96204,0.89401,0.91094,0.06389
15,16,creative,6 Use a rope to create a DIY dog leash or harness,use a rope to create a diy dog leash or harness,rope,rope,1.11613,1.07931,1.04188,0.95894,1.10082,1.05942,-0.04196
16,17,creative,7 Use a rope to create a DIY plant hanger,use a rope to create a diy plant hanger,rope,rope,1.15851,0.99274,0.96379,0.96243,0.89511,0.99452,-0.09189
17,18,creative,8 Create a rope bridge over a small stream or creek,create a rope bridge over a small stream or creek,rope,rope,1.01759,0.90735,0.90795,0.96156,1.10483,0.97986,-0.23779
18,19,creative,9 Use a rope to create a DIY jump rope for exercise,use a rope to create a diy jump rope for exercise,rope,rope,1.11865,0.96313,1.11939,0.96297,1.10407,1.05364,-0.02993
19,20,creative,10 Use a rope to create a DIY pulley system for lifting heavy objects,use a rope to create a diy pulley system for lifting heavy objects,rope,rope,1.16808,0.90988,0.97499,0.96099,0.89598,0.98198,0.0187
20,21,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,0.88045,1.0176,0.94901,0.96095,1.1051,0.98262,-3.3e-4
21,22,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.01667,0.97812,1.08076,0.96249,1.07835,1.02328,0.07353
22,23,creative,3 Tie a rope around a tree to create a makeshift clothesline,tie a rope around a tree to create a makeshift clothesline,rope,rope,1.13673,0.94017,1.2340200000000001,0.96124,1.1050200000000001,1.07544,0.26489
23,24,creative,4 Use a rope to create a DIY rope ladder for a treehouse or fort,use a rope to create a diy rope ladder for a treehouse or fort,rope,rope,1.15223,1.01059,1.10757,0.96097,1.10521,1.06731,-0.02624
24,25,creative,5 Create a rope obstacle course for kids or adults,create a rope obstacle course for kids or adults,rope,rope,0.86647,0.98692,0.84526,0.96204,0.89401,0.91094,0.06389
25,26,creative,6 Use a rope to create a DIY dog leash or harness,use a rope to create a diy dog leash or harness,rope,rope,1.11613,1.07931,1.04188,0.95894,1.10082,1.05942,-0.04196
26,27,creative,7 Use a rope to create a DIY plant hanger,use a rope to create a diy plant hanger,rope,rope,1.15851,0.99274,0.96379,0.96243,0.89511,0.99452,-0.09189
27,28,creative,8 Create a rope bridge over a small stream or creek,create a rope bridge over a small stream or creek,rope,rope,1.01759,0.90735,0.90795,0.96156,1.10483,0.97986,-0.23779
