...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 As a doorstop A brick can be used to hold open doors that have a tendency to close on their own,as a doorstop a brick can be used to hold open doors that have a tendency to close on their own,brick,brick,1.19166
1,2,creative,2 As a bookend A brick can be used to keep books upright on a shelf,as a bookend a brick can be used to keep books upright on a shelf,brick,brick,1.1923300000000001
2,3,creative,3 As a paperweight A brick can be used to keep papers from flying away on a windy day,as a paperweight a brick can be used to keep papers from flying away on a windy day,brick,brick,1.19167
3,4,creative,4 As a garden border A row of bricks can be used to create a border for a garden bed,as a garden border a row of bricks can be used to create a border for a garden bed,brick,brick,0.80833
4,5,creative,5 As a workout weight A brick can be used as a makeshift weight for exercise,as a workout weight a brick can be used as a makeshift weight for exercise,brick,brick,0.80833
5,6,creative,6 As a heat source A brick can be heated up and used as a source of warmth on a cold night,as a heat source a brick can be heated up and used as a source of warmth on a cold night,brick,brick,0.80831
6,7,creative,7 As a building material Bricks can be used to build walls fireplaces and other structures,as a building material bricks can be used to build walls fireplaces and other structures,brick,brick,0.80841
7,8,creative,8 As a decoration Bricks can be painted or decorated and used as a unique decorative piece,as a decoration bricks can be painted or decorated and used as a unique decorative piece,brick,brick,1.19173
8,9,creative,9 As a pet doorstop A brick can be used to keep a pet door open for easy access,as a pet doorstop a brick can be used to keep a pet door open for easy access,brick,brick,0.80833
9,10,creative,10 As a stepping stone A brick can be used as a stepping stone in a garden or walkway,as a stepping stone a brick can be used as a stepping stone in a garden or walkway,brick,brick,1.19167
10,11,creative,1 A bookend  place a brick on either side of a row of books to keep them upright,a bookend place a brick on either side of a row of books to keep them upright,brick,brick,1.19171
11,12,creative,2 A doorstop  prop open a door with a brick to prevent it from closing,a doorstop prop open a door with a brick to prevent it from closing,brick,brick,1.19176
12,13,creative,3 A garden marker  paint or write on a brick to label different plants or sections of a garden,a garden marker paint or write on a brick to label different plants or sections of a garden,brick,brick,1.19167
13,14,creative,4 A paperweight  use a brick to keep papers from flying away on a windy day,a paperweight use a brick to keep papers from flying away on a windy day,brick,brick,0.80833
14,15,creative,5 A workout tool  use a brick as a weight for arm curls or squats,a workout tool use a brick as a weight for arm curls or squats,brick,brick,1.19165
15,16,creative,6 A pet's chew toy  some pets enjoy chewing on hard objects and a brick can provide a durable option,a pets chew toy some pets enjoy chewing on hard objects and a brick can provide a durable option,brick,brick,1.19166
16,17,creative,7 A DIY fire pit  stack bricks in a circle to create a small portable fire pit for outdoor gatherings,a diy fire pit stack bricks in a circle to create a small portable fire pit for outdoor gatherings,brick,brick,1.19167
17,18,creative,8 A stepping stone  lay bricks in a path through a garden or yard,a stepping stone lay bricks in a path through a garden or yard,brick,brick,0.80833
18,19,creative,9 A makeshift hammer  use the flat side of a brick to pound in nails or other small objects,a makeshift hammer use the flat side of a brick to pound in nails or other small objects,brick,brick,1.19166
19,20,creative,10 A door knocker  attach a small metal ring to a brick and use it as a unique door knocker,a door knocker attach a small metal ring to a brick and use it as a unique door knocker,brick,brick,0.80832
20,21,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
21,22,creative,2 Create a unique garden border by stacking bricks in a zigzag pattern,create a unique garden border by stacking bricks in a zigzag pattern,brick,brick,0.80842
22,23,creative,3 Use bricks as weights for a home gym,use bricks as weights for a home gym,brick,brick,1.19168
