...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,1.1051
1,2,creative,2 Use the rope to create a makeshift clothesline for drying clothes,use the rope to create a makeshift clothesline for drying clothes,rope,rope,1.10453
2,3,creative,3 Make a rope ladder for a treehouse or loft,make a rope ladder for a treehouse or loft,rope,rope,1.11311
3,4,creative,4 Use the rope to create a DIY hammock,use the rope to create a diy hammock,rope,rope,1.07664
4,5,creative,5 Create a rope obstacle course for children to play on,create a rope obstacle course for children to play on,rope,rope,1.10649
5,6,creative,6 Make a rustic rope wall hanging for your home decor,make a rustic rope wall hanging for your home decor,rope,rope,1.08904
6,7,creative,7 Use the rope to create a DIY pet leash or harness,use the rope to create a diy pet leash or harness,rope,rope,1.09894
7,8,creative,8 Create a rope bridge for a nature walk or hiking trail,create a rope bridge for a nature walk or hiking trail,rope,rope,0.8949
8,9,creative,9 Use the rope to create a DIY jump rope for exercise,use the rope to create a diy jump rope for exercise,rope,rope,1.10401
9,10,creative,10 Make a decorative rope wreath for your front door,make a decorative rope wreath for your front door,rope,rope,0.89497
10,11,creative,1 Create a rope swing in your backyard,create a rope swing in your backyard,rope,rope,0.89437
11,12,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.07835
12,13,creative,3 Use a rope to create a rope ladder for kids to climb,use a rope to create a rope ladder for kids to climb,rope,rope,1.10503
13,14,creative,4 Tie a rope between two trees to create a tightrope for balancing,tie a rope between two trees to create a tightrope for balancing,rope,rope,0.896
14,15,creative,5 Use a rope to create a DIY rope bridge across a creek or small stream,use a rope to create a diy rope bridge across a creek or small stream,rope,rope,1.10517
15,16,creative,6 Use a rope to create a DIY rope course for team building activities,use a rope to create a diy rope course for team building activities,rope,rope,1.10461
16,17,creative,7 Use a rope to create a DIY rope obstacle course for fitness training,use a rope to create a diy rope obstacle course for fitness training,rope,rope,1.10434
17,18,creative,8 Use a rope to create a DIY rope maze for kids to navigate,use a rope to create a diy rope maze for kids to navigate,rope,rope,1.10481
18,19,creative,9 Use a rope to create a DIY rope wall for rock climbing practice,use a rope to create a diy rope wall for rock climbing practice,rope,rope,1.1050200000000001
19,20,creative,10 Use a rope to create a DIY rope net for a backyard obstacle course,use a rope to create a diy rope net for a backyard obstacle course,rope,rope,0.89441
20,21,creative,1 Create a rope swing in your backyard for kids or adults to enjoy,create a rope swing in your backyard for kids or adults to enjoy,rope,rope,0.89487
21,22,creative,2 Use a rope to create a makeshift clothesline for drying clothes outside,use a rope to create a makeshift clothesline for drying clothes outside,rope,rope,0.8950899999999999
22,23,creative,3 Make a rope ladder for a treehouse or fort,make a rope ladder for a treehouse or fort,rope,rope,1.10868
23,24,creative,4 Use a rope to create a DIY hammock for relaxing outdoors,use a rope to create a diy hammock for relaxing outdoors,rope,rope,0.89512
24,25,creative,5 Create a rope obstacle course for kids to play on,create a rope obstacle course for kids to play on,rope,rope,1.10597
25,26,creative,6 Use a rope to create a DIY pulley system for lifting heavy items,use a rope to create a diy pulley system for lifting heavy items,rope,rope,0.89575
26,27,creative,7 Use a rope to create a DIY pet leash or harness,use a rope to create a diy pet leash or harness,rope,rope,1.09928
27,28,creative,8 Create a rope bridge over a small stream or creek for a fun adventure,create a rope bridge over a small stream or creek for a fun adventure,rope,rope,1.10512
28,29,creative,9 Use a rope to create a DIY tire swing,use a rope to create a diy tire swing,rope,rope,1.10328
29,30,creative,10 Use a rope to create a DIY rope rug or doormat,use a rope to create a diy rope rug or doormat,rope,rope,0.89792
30,31,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,1.1051
31,32,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.07835
32,33,creative,3 Make a rope ladder for kids to climb and play on,make a rope ladder for kids to climb and play on,rope,rope,0.8939
33,34,creative,4 Use a rope to create a unique room divider or curtain,use a rope to create a unique room divider or curtain,rope,rope,1.10603
34,35,creative,5 Create a rope obstacle course for outdoor games and activities,create a rope obstacle course for outdoor games and activities,rope,rope,1.1055
35,36,creative,6 Use a rope to create a clothesline for drying laundry,use a rope to create a clothesline for drying laundry,rope,rope,0.89143
36,37,creative,7 Create a DIY rope rug or doormat for your home,create a diy rope rug or doormat for your home,rope,rope,1.1023
37,38,creative,8 Use a rope to create a DIY plant hanger for your indoor or outdoor plants,use a rope to create a diy plant hanger for your indoor or outdoor plants,rope,rope,0.89486
38,39,creative,9 Create a DIY rope basket for storage or decoration,create a diy rope basket for storage or decoration,rope,rope,1.10038
39,40,creative,10 Use a rope to create a DIY dog leash or harness for your furry friend,use a rope to create a diy dog leash or harness for your furry friend,rope,rope,1.10992
40,41,creative,1 Create a rope swing in your backyard for kids or adults to enjoy,create a rope swing in your backyard for kids or adults to enjoy,rope,rope,0.89487
41,42,creative,2 Use a rope to create a DIY hammock for relaxing outdoors,use a rope to create a diy hammock for relaxing outdoors,rope,rope,0.89512
42,43,creative,3 Hang a rope ladder from a tree or balcony for a unique entrance to your home,hang a rope ladder from a tree or balcony for a unique entrance to your home,rope,rope,1.10514
43,44,creative,4 Use a rope to create a DIY clothesline for drying clothes outside,use a rope to create a diy clothesline for drying clothes outside,rope,rope,1.10357
44,45,creative,5 Create a rope obstacle course for kids or adults to challenge themselves physically,create a rope obstacle course for kids or adults to challenge themselves physically,rope,rope,0.89467
45,46,creative,6 Use a rope to create a DIY dog leash or collar,use a rope to create a diy dog leash or collar,rope,rope,1.09511
46,47,creative,7 Create a rope sculpture or wall hanging for a unique piece of home decor,create a rope sculpture or wall hanging for a unique piece of home decor,rope,rope,1.10777
47,48,creative,8 Use a rope to create a DIY jump rope for exercise,use a rope to create a diy jump rope for exercise,rope,rope,1.10407
48,49,creative,9 Create a rope net for a fun game of backyard volleyball or badminton,create a rope net for a fun game of backyard volleyball or badminton,rope,rope,0.89475
49,50,creative,10 Use a rope to create a DIY curtain tieback for a rustic touch to your home decor,use a rope to create a diy curtain tieback for a rustic touch to your home decor,rope,rope,0.89342
50,51,creative,1 Create a rope swing in your backyard,create a rope swing in your backyard,rope,rope,0.89437
51,52,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.07835
52,53,creative,3 Use a rope to create a unique wall hanging or tapestry,use a rope to create a unique wall hanging or tapestry,rope,rope,1.10658
53,54,creative,4 Tie a rope around a tree to create a natural obstacle course,tie a rope around a tree to create a natural obstacle course,rope,rope,1.10743
54,55,creative,5 Use a rope to create a DIY rope ladder for kids to climb,use a rope to create a diy rope ladder for kids to climb,rope,rope,1.10519
55,56,creative,6 Use a rope to create a DIY clothesline for drying clothes,use a rope to create a diy clothesline for drying clothes,rope,rope,0.89865
56,57,creative,7 Use a rope to create a DIY rope bridge over a small stream or creek,use a rope to create a diy rope bridge over a small stream or creek,rope,rope,1.10517
57,58,creative,8 Use a rope to create a DIY rope curtain for privacy or decoration,use a rope to create a diy rope curtain for privacy or decoration,rope,rope,1.10422
58,59,creative,9 Use a rope to create a DIY rope handle for a homemade tote bag or basket,use a rope to create a diy rope handle for a homemade tote bag or basket,rope,rope,1.10511
59,60,creative,10 Use a rope to create a DIY rope leash for your pet,use a rope to create a diy rope leash for your pet,rope,rope,0.89991
60,61,creative,1 Create a rope swing in your backyard for a fun and playful addition to your outdoor space,create a rope swing in your backyard for a fun and playful addition to your outdoor space,rope,rope,1.10525
61,62,creative,2 Use a rope to create a DIY hammock for a relaxing spot to lounge in the sun,use a rope to create a diy hammock for a relaxing spot to lounge in the sun,rope,rope,0.89473
62,63,creative,3 Create a rope ladder for a fun and unique way to access your treehouse or loft,create a rope ladder for a fun and unique way to access your treehouse or loft,rope,rope,0.89024
63,64,creative,4 Use a rope to create a DIY clothesline for ecofriendly laundry drying,use a rope to create a diy clothesline for ecofriendly laundry drying,rope,rope,0.89663
64,65,creative,5 Create a rope wall hanging by weaving different colored ropes together for a bohemian decor piece,create a rope wall hanging by weaving different colored ropes together for a bohemian decor piece,rope,rope,0.88808
65,66,creative,6 Use a rope to create a DIY dog leash for a personalized and unique accessory for your furry friend,use a rope to create a diy dog leash for a personalized and unique accessory for your furry friend,rope,rope,1.10771
66,67,creative,7 Create a rope curtain by hanging multiple ropes in a doorway for a rustic and unique touch,create a rope curtain by hanging multiple ropes in a doorway for a rustic and unique touch,rope,rope,0.89481
67,68,creative,8 Use a rope to create a DIY plant hanger for a stylish way to display your greenery,use a rope to create a diy plant hanger for a stylish way to display your greenery,rope,rope,0.89498
68,69,creative,9 Create a rope obstacle course in your backyard for a fun and challenging activity for kids and adults alike,create a rope obstacle course in your backyard for a fun and challenging activity for kids and adults alike,rope,rope,0.89486
69,70,creative,10 Use a rope to create a DIY rope rug by coiling and sewing together multiple ropes for a unique and durable floor covering,use a rope to create a diy rope rug by coiling and sewing together multiple ropes for a unique and durable floor covering,rope,rope,0.89739
70,71,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,1.1051
71,72,creative,2 Use a rope to make a DIY hammock,use a rope to make a diy hammock,rope,rope,1.08497
72,73,creative,3 Create a rope ladder for a treehouse or loft bed,create a rope ladder for a treehouse or loft bed,rope,rope,0.88736
73,74,creative,4 Use a rope to create a makeshift clothesline for drying clothes,use a rope to create a makeshift clothesline for drying clothes,rope,rope,1.10457
74,75,creative,5 Create a rope obstacle course for kids or adults,create a rope obstacle course for kids or adults,rope,rope,0.89401
75,76,creative,6 Use a rope to create a DIY dog leash or collar,use a rope to create a diy dog leash or collar,rope,rope,1.09511
76,77,creative,7 Create a rope wall hanging or macrame plant hanger,create a rope wall hanging or macrame plant hanger,rope,rope,0.89437
77,78,creative,8 Use a rope to create a DIY jump rope for exercising,use a rope to create a diy jump rope for exercising,rope,rope,1.10415
78,79,creative,9 Create a rope pulley system for lifting heavy items,create a rope pulley system for lifting heavy items,rope,rope,1.10935
79,80,creative,10 Use a rope to create a DIY tire swing,use a rope to create a diy tire swing,rope,rope,1.10328
80,81,creative,1 Use it as a DIY clothesline to hang clothes outdoors,use it as a diy clothesline to hang clothes outdoors,rope,rope,1.10495
81,82,creative,2 Create a rope swing in your backyard for kids or adults to enjoy,create a rope swing in your backyard for kids or adults to enjoy,rope,rope,0.89487
82,83,creative,3 Use it to create a unique and rustic room divider,use it to create a unique and rustic room divider,rope,rope,0.89932
83,84,creative,4 Tie it around a large tree to create a DIY hammock,tie it around a large tree to create a diy hammock,rope,rope,0.90256
84,85,creative,5 Use it to create a DIY curtain rod for a rustic or nauticalthemed room,use it to create a diy curtain rod for a rustic or nauticalthemed room,rope,rope,1.10533
85,86,creative,6 Use it to create a DIY headboard for your bed,use it to create a diy headboard for your bed,rope,rope,1.10491
86,87,creative,7 Create a DIY rope ladder for kids to climb up to a treehouse or loft bed,create a diy rope ladder for kids to climb up to a treehouse or loft bed,rope,rope,1.10461
87,88,creative,8 Use it to create a DIY rope shelf for a unique and rustic storage solution,use it to create a diy rope shelf for a unique and rustic storage solution,rope,rope,1.1095
88,89,creative,9 Use it to create a DIY rope handle for a basket or tote bag,use it to create a diy rope handle for a basket or tote bag,rope,rope,1.10459
89,90,creative,10 Use it to create a DIY rope wall art piece by wrapping it around a canvas or wooden frame,use it to create a diy rope wall art piece by wrapping it around a canvas or wooden frame,rope,rope,1.1042399999999999
90,91,creative,1 Create a rope swing in your backyard for kids or adults to enjoy,create a rope swing in your backyard for kids or adults to enjoy,rope,rope,0.89487
91,92,creative,2 Use a rope to create a makeshift clothesline for drying clothes outdoors,use a rope to create a makeshift clothesline for drying clothes outdoors,rope,rope,0.89488
92,93,creative,3 Tie a rope to a tire and create a DIY tire swing,tie a rope to a tire and create a diy tire swing,rope,rope,0.89576
93,94,creative,4 Use a rope to create a DIY hammock for relaxing in your backyard,use a rope to create a diy hammock for relaxing in your backyard,rope,rope,0.89391
94,95,creative,5 Create a DIY rope ladder for kids to climb on,create a diy rope ladder for kids to climb on,rope,rope,0.89586
95,96,creative,6 Use a rope to create a DIY tugofwar game for parties or events,use a rope to create a diy tugofwar game for parties or events,rope,rope,0.8950400000000001
96,97,creative,7 Tie a rope around a large tree trunk and create a DIY tree swing,tie a rope around a large tree trunk and create a diy tree swing,rope,rope,0.89589
97,98,creative,8 Use a rope to create a DIY rope bridge for kids to walk across,use a rope to create a diy rope bridge for kids to walk across,rope,rope,0.89493
98,99,creative,9 Use a rope to create a DIY obstacle course for kids to play on,use a rope to create a diy obstacle course for kids to play on,rope,rope,0.89506
99,100,creative,10 Create a DIY rope maze or web for kids to navigate through,create a diy rope maze or web for kids to navigate through,rope,rope,0.89552
100,101,creative,1 Create a rope swing in your backyard,create a rope swing in your backyard,rope,rope,0.89437
101,102,creative,2 Use a rope to make a DIY hammock,use a rope to make a diy hammock,rope,rope,1.08497
102,103,creative,3 Tie a rope around a tree trunk for a fun outdoor game of tugofwar,tie a rope around a tree trunk for a fun outdoor game of tugofwar,rope,rope,0.89378
103,104,creative,4 Use a rope to create a DIY rope ladder for a treehouse or fort,use a rope to create a diy rope ladder for a treehouse or fort,rope,rope,1.10521
