...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Use a fork as a makeshift hairpin to hold up a bun or updo,use a fork as a makeshift hairpin to hold up a bun or updo,fork,fork,0.94114
1,2,creative,2 Use a fork to create perfectly spaced holes in soil for planting seeds,use a fork to create perfectly spaced holes in soil for planting seeds,fork,fork,0.94106
2,3,creative,3 Use a fork to create texture in clay or other modeling materials,use a fork to create texture in clay or other modeling materials,fork,fork,0.94125
3,4,creative,4 Use a fork as a mini easel to display small pieces of art or photos,use a fork as a mini easel to display small pieces of art or photos,fork,fork,1.05887
4,5,creative,5 Use a fork to create decorative patterns in frosting on cakes or cupcakes,use a fork to create decorative patterns in frosting on cakes or cupcakes,fork,fork,0.94111
5,6,creative,6 Use a fork to scratch lottery tickets or other scratchoff games,use a fork to scratch lottery tickets or other scratchoff games,fork,fork,1.05888
6,7,creative,7 Use a fork to create a unique and textured border for a scrapbook page,use a fork to create a unique and textured border for a scrapbook page,fork,fork,1.05883
7,8,creative,8 Use a fork to create a homemade musical instrument like a thumb piano,use a fork to create a homemade musical instrument like a thumb piano,fork,fork,0.94115
8,9,creative,9 Use a fork to create a makeshift backscratcher,use a fork to create a makeshift backscratcher,fork,fork,0.94104
9,10,creative,10 Use a fork to create a unique and textured design on a candle or soap,use a fork to create a unique and textured design on a candle or soap,fork,fork,1.0589
10,11,creative,1 Use it as a hair accessory by bending the prongs to hold a bun or ponytail in place,use it as a hair accessory by bending the prongs to hold a bun or ponytail in place,fork,fork,0.94114
11,12,creative,2 Create a unique piece of jewelry by wrapping the handle in wire and adding beads or charms,create a unique piece of jewelry by wrapping the handle in wire and adding beads or charms,fork,fork,1.0592
12,13,creative,3 Use it as a gardening tool to aerate soil or remove small weeds,use it as a gardening tool to aerate soil or remove small weeds,fork,fork,1.05877
13,14,creative,4 Use it as a makeshift lock pick in an emergency situation,use it as a makeshift lock pick in an emergency situation,fork,fork,0.94116
14,15,creative,5 Create a fork sculpture by bending and shaping the prongs into a desired shape,create a fork sculpture by bending and shaping the prongs into a desired shape,fork,fork,0.94089
15,16,creative,6 Use it to create textured patterns in clay or other soft materials,use it to create textured patterns in clay or other soft materials,fork,fork,0.94128
16,17,creative,7 Use it as a musical instrument by tapping on different surfaces or plucking the prongs,use it as a musical instrument by tapping on different surfaces or plucking the prongs,fork,fork,1.03101
17,18,creative,8 Use it to create a DIY wind chime by hanging multiple forks from a string or wire,use it to create a diy wind chime by hanging multiple forks from a string or wire,fork,fork,1.05866
18,19,creative,9 Use it as a tool to help with knitting or crocheting by using the prongs to pick up dropped stitches,use it as a tool to help with knitting or crocheting by using the prongs to pick up dropped stitches,fork,fork,0.94114
19,20,creative,10 Use it as a unique way to serve appetizers or desserts by skewering individual portions onto the prongs,use it as a unique way to serve appetizers or desserts by skewering individual portions onto the prongs,fork,fork,1.05914
20,21,creative,1 As a mini rake for a small garden or potted plant,as a mini rake for a small garden or potted plant,fork,fork,1.05647
21,22,creative,2 To create a textured pattern in clay or playdough,to create a textured pattern in clay or playdough,fork,fork,0.94146
22,23,creative,3 As a makeshift hair pick or comb,as a makeshift hair pick or comb,fork,fork,0.94051
23,24,creative,4 To hold a candle wick in place while pouring wax,to hold a candle wick in place while pouring wax,fork,fork,0.9412
24,25,creative,5 As a tool to separate tangled jewelry chains,as a tool to separate tangled jewelry chains,fork,fork,1.0363
25,26,creative,6 To make decorative patterns in frosting on a cake,to make decorative patterns in frosting on a cake,fork,fork,1.05871
26,27,creative,7 As a tool to create a marbled effect in nail polish,as a tool to create a marbled effect in nail polish,fork,fork,1.05933
27,28,creative,8 To create a unique pattern on a painted wall or furniture,to create a unique pattern on a painted wall or furniture,fork,fork,0.94205
28,29,creative,9 As a tool to clean small crevices or hardtoreach areas,as a tool to clean small crevices or hardtoreach areas,fork,fork,1.05881
29,30,creative,10 To hold a small piece of paper or fabric in place while sewing or crafting,to hold a small piece of paper or fabric in place while sewing or crafting,fork,fork,0.94288
30,31,creative,1 Use a fork to create unique patterns in clay or playdough,use a fork to create unique patterns in clay or playdough,fork,fork,1.05893
31,32,creative,2 Use a fork to create a decorative border on a pie crust,use a fork to create a decorative border on a pie crust,fork,fork,0.94111
32,33,creative,3 Use a fork to create a DIY hair accessory by bending the prongs and adding beads or jewels,use a fork to create a diy hair accessory by bending the prongs and adding beads or jewels,fork,fork,1.05885
33,34,creative,4 Use a fork to create a mini garden by sticking the prongs into soil and adding small plants or herbs,use a fork to create a mini garden by sticking the prongs into soil and adding small plants or herbs,fork,fork,0.94114
