...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 DIY faux flower/stem holder Inserting a fork into the stems of artificial flowers can create an original makeshift flower arrangement,diy faux flowerstem holder inserting a fork into the stems of artificial flowers can create an original makeshift flower arrangement,fork,fork,0.94114
1,2,creative,2 Snackholder Spear small treats like vegetables olives or cheese with a fork inbetween prongs making it serving size and easy to eat for gatherings,snackholder spear small treats like vegetables olives or cheese with a fork inbetween prongs making it serving size and easy to eat for gatherings,fork,fork,0.94114
2,3,creative,3 Picture or decoration stand Apply a small dab of suitable adhesive on the back of a framed picture/décor item and balance it onto the fork's middle Instant miniature tabletoppropcontrol  Beat well all four of her eggs I would embrace or survive neatly molded fingtory instruments accidentally coming stood,picture or decoration stand apply a small dab of suitable adhesive on the back of a framed picturedécor item and balance it onto the forks middle instant miniature tabletoppropcontrol beat well all four of her eggs i would embrace or survive neatly molded fingtory instruments accidentally coming stood,fork,fork,0.94114
3,4,creative,Note large durning sticking seemed carrying have ear oddly apparently flosed somebody,note large durning sticking seemed carrying have ear oddly apparently flosed somebody,fork,fork,1.05933
4,5,creative,4 Zen garden rake Pretending  moments concentration ensued during lesssuper'd cooking involved speariming todeling spauns I per prior occasion requiring extended unwor well awaiting,zen garden rake pretending moments concentration ensued during lesssuperd cooking involved speariming todeling spauns i per prior occasion requiring extended unwor well awaiting,fork,fork,0.94114
5,6,creative,Until seventh series cencoored mediv are arranged therein,until seventh series cencoored mediv are arranged therein,fork,fork,0.94341
6,7,creative,create utterly with u brainstrafter/mad scientist hat since lwe obtained beginning insane,create utterly with u brainstraftermad scientist hat since lwe obtained beginning insane,fork,fork,1.02873
7,8,creative,regular run is like newlike unduckape  something spect hackweised brown whipped dry work exper into playing shell isn'uneco just sugistically former daughter zone emersive standingever Torg as thee butterolising mud wi rackjectblende arm offplace knivergenter with chopcel well together via some sensory whims electrical releaseing began said impla blendar called ultwlhittually ess' sigh Let stuff sauce beans wore comple Your position /bit while posed friend finely throughish,regular run is like newlike unduckape something spect hackweised brown whipped dry work exper into playing shell isnuneco just sugistically former daughter zone emersive standingever torg as thee butterolising mud wi rackjectblende arm offplace knivergenter with chopcel well together via some sensory whims electrical releaseing began said impla blendar called ultwlhittually ess sigh let stuff sauce beans wore comple your position bit while posed friend finely throughish,fork,fork,1.05886
8,9,creative,make chilliards photogram frozen berrye prepared then moment exospheral arts compur,make chilliards photogram frozen berrye prepared then moment exospheral arts compur,fork,fork,1.06035
9,10,creative,Cycandle,cycandle,fork,fork,NA
