...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Cat playhouse Cut out holes and windows in the box to create a cozy play area for your feline friend,cat playhouse cut out holes and windows in the box to create a cozy play area for your feline friend,box,box,0.8675200000000001
1,2,creative,2 Minigarden Line the box with plastic and create a small indoor garden by filling it with soil and planting herbs or succulents,minigarden line the box with plastic and create a small indoor garden by filling it with soil and planting herbs or succulents,box,box,1.22315
2,3,creative,3 DIY photo booth Paint the box add props and a camera hole and set it up as a fun photo booth at parties or gatherings,diy photo booth paint the box add props and a camera hole and set it up as a fun photo booth at parties or gatherings,box,box,1.22315
3,4,creative,4 Shadow puppet theater Cut out a large hole at one end of the box decorate it as a stage and use a flashlight to create shadow puppet shows,shadow puppet theater cut out a large hole at one end of the box decorate it as a stage and use a flashlight to create shadow puppet shows,box,box,1.22315
4,5,creative,5 Box guitar Attach rubber bands of different thicknesses across the opening of the box to create a makeshift guitar,box guitar attach rubber bands of different thicknesses across the opening of the box to create a makeshift guitar,box,box,1.22315
5,6,creative,6 Organizer Use dividers or smaller boxes inside the larger one to create compartments for organizing craft supplies office supplies or toys,organizer use dividers or smaller boxes inside the larger one to create compartments for organizing craft supplies office supplies or toys,box,box,0.77676
6,7,creative,7 DIY pinhole projector Cut a small hole in one side of the box and use it to project an image of the sun onto the opposite side creating a simple solar viewer,diy pinhole projector cut a small hole in one side of the box and use it to project an image of the sun onto the opposite side creating a simple solar viewer,box,box,0.77678
7,8,creative,8 Portable speaker Cut holes in the box insert small speakers and connect them to a music device to amplify the sound,portable speaker cut holes in the box insert small speakers and connect them to a music device to amplify the sound,box,box,1.22298
8,9,creative,9 Box maze Cut holes and passages in different sides of the box to create a maze for small toys or marbles to navigate through,box maze cut holes and passages in different sides of the box to create a maze for small toys or marbles to navigate through,box,box,1.22305
9,10,creative,10 Gift wrapper Decorate the box creatively add a ribbon or bow and use it as an unconventional gift wrapping making the box itself part of the gift,gift wrapper decorate the box creatively add a ribbon or bow and use it as an unconventional gift wrapping making the box itself part of the gift,box,box,0.77685
10,11,creative,1 Transform it into a makeshift pet house for a small animal like a cat or a rabbit Cut out an entrance and add some comfy bedding inside,transform it into a makeshift pet house for a small animal like a cat or a rabbit cut out an entrance and add some comfy bedding inside,box,box,1.22314
11,12,creative,2 Create a DIY minigolf course by cutting out holes in the box and designing obstacles using everyday objects,create a diy minigolf course by cutting out holes in the box and designing obstacles using everyday objects,box,box,1.21757
12,13,creative,3 Turn it into a portable art studio by organizing art supplies inside The box can serve as a canvas or a storage space for finished artwork,turn it into a portable art studio by organizing art supplies inside the box can serve as a canvas or a storage space for finished artwork,box,box,1.22315
13,14,creative,4 Construct a cardboard maze for children to explore Cut out multiple boxes and connect them together to create a fun and interactive play area,construct a cardboard maze for children to explore cut out multiple boxes and connect them together to create a fun and interactive play area,box,box,1.22314
14,15,creative,5 Make a DIY projector by cutting a hole in one side of the box and attaching a smartphone or tablet inside Use the box as a screen and enjoy movie nights or educational videos,make a diy projector by cutting a hole in one side of the box and attaching a smartphone or tablet inside use the box as a screen and enjoy movie nights or educational videos,box,box,0.77683
15,16,creative,6 Create a whimsical puppet theater by cutting out a large window in the front of the box and decorating it with curtains and props,create a whimsical puppet theater by cutting out a large window in the front of the box and decorating it with curtains and props,box,box,0.77684
16,17,creative,7 Turn it into a plant nursery by adding soil and planting seeds or small plants inside The box can provide a protected environment for seedlings to grow,turn it into a plant nursery by adding soil and planting seeds or small plants inside the box can provide a protected environment for seedlings to grow,box,box,0.77678
17,18,creative,8 Construct a unique storage solution by stacking and connecting boxes of different sizes Paint or decorate them to add a touch of creativity to your organization,construct a unique storage solution by stacking and connecting boxes of different sizes paint or decorate them to add a touch of creativity to your organization,box,box,1.2230699999999999
