...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Use the tongs of the fork to fish out small objects stuck in tight spaces,use the tongs of the fork to fish out small objects stuck in tight spaces,fork,fork,1.05891
1,2,creative,2 Bend the prongs of the fork to create a makeshift hair comb,bend the prongs of the fork to create a makeshift hair comb,fork,fork,0.94219
2,3,creative,3 Use the fork as a stencil to create designs on paper or fabric,use the fork as a stencil to create designs on paper or fabric,fork,fork,1.05931
3,4,creative,4 Stick pieces of fruit onto the prongs of the fork to create a fun healthy snack,stick pieces of fruit onto the prongs of the fork to create a fun healthy snack,fork,fork,0.94114
4,5,creative,5 Use the fork to create lines in clay or other soft materials,use the fork to create lines in clay or other soft materials,fork,fork,1.05888
5,6,creative,6 Hang the fork on a wall as a unique piece of art,hang the fork on a wall as a unique piece of art,fork,fork,1.05855
6,7,creative,7 Use the tongs of the fork to pick up and move hot charcoal when grilling,use the tongs of the fork to pick up and move hot charcoal when grilling,fork,fork,1.05884
7,8,creative,8 Create a fork puppet by attaching googly eyes and a mouth to the handle,create a fork puppet by attaching googly eyes and a mouth to the handle,fork,fork,0.9408
8,9,creative,9 Use the fork to create a textured pattern in frosting or other soft foods,use the fork to create a textured pattern in frosting or other soft foods,fork,fork,1.05885
9,10,creative,10 Use the fork as a tool for carving and shaping soap or other soft materials,use the fork as a tool for carving and shaping soap or other soft materials,fork,fork,0.94097
10,11,creative,1 Use it as a mini rake to groom your Zen garden,use it as a mini rake to groom your zen garden,fork,fork,1.05096
11,12,creative,2 Use it as a hair comb in a pinch,use it as a hair comb in a pinch,fork,fork,0.9575899999999999
12,13,creative,3 Use it to create textured patterns in clay or playdough,use it to create textured patterns in clay or playdough,fork,fork,1.05865
13,14,creative,4 Use it as a makeshift screwdriver for small screws,use it as a makeshift screwdriver for small screws,fork,fork,1.05872
14,15,creative,5 Use it to make decorative patterns in icing or whipped cream,use it to make decorative patterns in icing or whipped cream,fork,fork,0.94181
15,16,creative,6 Use it to poke holes in soil for planting seeds,use it to poke holes in soil for planting seeds,fork,fork,1.05944
16,17,creative,7 Use it as a tool to help thread a needle,use it as a tool to help thread a needle,fork,fork,1.04417
17,18,creative,8 Use it to fish small items out of tight spaces,use it to fish small items out of tight spaces,fork,fork,1.05921
18,19,creative,9 Use it to create a unique design in a bar of soap,use it to create a unique design in a bar of soap,fork,fork,1.05939
19,20,creative,10 Use it to make a musical instrument by attaching it to a piece of wood or cardboard and plucking the tines,use it to make a musical instrument by attaching it to a piece of wood or cardboard and plucking the tines,fork,fork,1.03804
20,21,creative,1 Use a fork to create a pattern in your mashed potatoes or other soft foods for a decorative touch,use a fork to create a pattern in your mashed potatoes or other soft foods for a decorative touch,fork,fork,1.05887
21,22,creative,2 Use a fork to untangle knots in jewelry chains or other small items,use a fork to untangle knots in jewelry chains or other small items,fork,fork,0.94122
22,23,creative,3 Use a fork to scratch a hardtoreach itch on your back,use a fork to scratch a hardtoreach itch on your back,fork,fork,0.99548
23,24,creative,4 Use a fork to create a DIY hair accessory by wrapping ribbon or fabric around the prongs and securing it with glue,use a fork to create a diy hair accessory by wrapping ribbon or fabric around the prongs and securing it with glue,fork,fork,1.05862
24,25,creative,5 Use a fork to create a unique piece of art by dipping the prongs in paint and using them to make dots or lines on a canvas,use a fork to create a unique piece of art by dipping the prongs in paint and using them to make dots or lines on a canvas,fork,fork,1.05886
25,26,creative,6 Use a fork to create a makeshift whisk by bending the prongs slightly and using it to beat eggs or mix ingredients,use a fork to create a makeshift whisk by bending the prongs slightly and using it to beat eggs or mix ingredients,fork,fork,0.94114
26,27,creative,7 Use a fork to create a DIY garden marker by writing on the handle with a permanent marker and sticking it in the soil next to your plant,use a fork to create a diy garden marker by writing on the handle with a permanent marker and sticking it in the soil next to your plant,fork,fork,0.94114
27,28,creative,8 Use a fork to create a DIY phone stand by bending the prongs and placing your phone between them,use a fork to create a diy phone stand by bending the prongs and placing your phone between them,fork,fork,0.94115
28,29,creative,9 Use a fork to create a DIY candle holder by sticking the prongs into a cork or foam ball and placing a tea light on top,use a fork to create a diy candle holder by sticking the prongs into a cork or foam ball and placing a tea light on top,fork,fork,0.94114
29,30,creative,10 Use a fork to create a DIY toy by attaching a small toy or figurine to the prongs with string or wire and using it as a puppet,use a fork to create a diy toy by attaching a small toy or figurine to the prongs with string or wire and using it as a puppet,fork,fork,0.94114
30,31,creative,1 Use a fork as a makeshift hairpin to hold up a messy bun or updo,use a fork as a makeshift hairpin to hold up a messy bun or updo,fork,fork,1.05885
31,32,creative,2 Use a fork to make decorative indentations in pie crusts or cookies,use a fork to make decorative indentations in pie crusts or cookies,fork,fork,1.0589
32,33,creative,3 Create a miniature garden by using a fork to plant small herbs or succulents in a small pot,create a miniature garden by using a fork to plant small herbs or succulents in a small pot,fork,fork,0.94114
