...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Turn it into a miniature garden by filling it with soil and planting herbs or small flowers,turn it into a miniature garden by filling it with soil and planting herbs or small flowers,tin can,tin can,1.63781
1,2,creative,2 Use it as a pencil or pen holder on your desk,use it as a pencil or pen holder on your desk,tin can,tin can,1.6859
2,3,creative,3 Make it into a DIY birdhouse by putting a hole in the top and hanging it from a tree,make it into a diy birdhouse by putting a hole in the top and hanging it from a tree,tin can,tin can,1.63415
3,4,creative,4 Cut off the top and bottom to create a tin can lantern with a tea light inside,cut off the top and bottom to create a tin can lantern with a tea light inside,tin can,tin can,1.62984
4,5,creative,5 Fill it with rocks and use it as a paperweight,fill it with rocks and use it as a paperweight,tin can,tin can,1.64341
5,6,creative,6 Cut off the top and use it as a makeshift cookie cutter,cut off the top and use it as a makeshift cookie cutter,tin can,tin can,1.47701
6,7,creative,7 Make a tin can telephone by piercing a small hole in the bottom and attaching string to another can,make a tin can telephone by piercing a small hole in the bottom and attaching string to another can,tin can,tin can,1.65018
7,8,creative,8 Cut off the top and use it as a lid for a jar or container,cut off the top and use it as a lid for a jar or container,tin can,tin can,0.49803
8,9,creative,9 Create a DIY drum by covering the can with colorful duct tape and using chopsticks as drumsticks,create a diy drum by covering the can with colorful duct tape and using chopsticks as drumsticks,tin can,tin can,1.65854
9,10,creative,10 Cut the can into strips and use them as plant markers in your garden,cut the can into strips and use them as plant markers in your garden,tin can,tin can,0.36134999999999995
10,11,creative,1 A pencil holder A tin can can be cleaned and used to hold pencils pens or markers,a pencil holder a tin can can be cleaned and used to hold pencils pens or markers,tin can,tin can,0.36724999999999997
11,12,creative,2 A flower vase A tin can can be painted and decorated to create a unique flower vase,a flower vase a tin can can be painted and decorated to create a unique flower vase,tin can,tin can,1.67122
12,13,creative,3 A lantern A tin can can be punched with holes and fitted with a candle to create a beautiful lantern,a lantern a tin can can be punched with holes and fitted with a candle to create a beautiful lantern,tin can,tin can,0.36970000000000003
13,14,creative,4 A birdhouse A tin can can be cut painted and decorated to create a unique and functional birdhouse,a birdhouse a tin can can be cut painted and decorated to create a unique and functional birdhouse,tin can,tin can,0.34060999999999997
14,15,creative,5 A piggy bank A tin can can be covered in paper or painted and used to save money,a piggy bank a tin can can be covered in paper or painted and used to save money,tin can,tin can,0.37392000000000003
15,16,creative,6 A storage container A tin can can be used to store small items such as paper clips buttons or sewing supplies,a storage container a tin can can be used to store small items such as paper clips buttons or sewing supplies,tin can,tin can,1.63795
16,17,creative,7 A wind chime A tin can can be cut and decorated to create a beautiful wind chime,a wind chime a tin can can be cut and decorated to create a beautiful wind chime,tin can,tin can,1.6566999999999998
17,18,creative,8 A candle holder A tin can can be filled with sand and used to hold a candle,a candle holder a tin can can be filled with sand and used to hold a candle,tin can,tin can,1.63845
18,19,creative,9 A cookie cutter A tin can can be cut into various shapes to create a unique cookie cutter,a cookie cutter a tin can can be cut into various shapes to create a unique cookie cutter,tin can,tin can,0.7086
19,20,creative,10 A plant pot A tin can can be painted and decorated to create a unique plant pot,a plant pot a tin can can be painted and decorated to create a unique plant pot,tin can,tin can,1.63811
20,21,creative,1 Turn it into a birdhouse by cutting a hole in the side and adding a perch,turn it into a birdhouse by cutting a hole in the side and adding a perch,tin can,tin can,1.5621
21,22,creative,2 Use it as a pencil holder by decorating it with colorful paper or paint,use it as a pencil holder by decorating it with colorful paper or paint,tin can,tin can,0.34411
22,23,creative,3 Make a DIY lantern by punching holes in the sides and placing a candle inside,make a diy lantern by punching holes in the sides and placing a candle inside,tin can,tin can,0.36302999999999996
23,24,creative,4 Create a mini herb garden by filling it with potting soil and planting herbs,create a mini herb garden by filling it with potting soil and planting herbs,tin can,tin can,1.63775
24,25,creative,5 Use it as a cookie cutter by cutting off the bottom and shaping the sides,use it as a cookie cutter by cutting off the bottom and shaping the sides,tin can,tin can,1.28788
25,26,creative,6 Fashion it into a wind chime by attaching strings and bells or metal objects,fashion it into a wind chime by attaching strings and bells or metal objects,tin can,tin can,0.41996999999999995
26,27,creative,7 Turn it into a makeshift drum by covering it in fabric or paper and using drumsticks,turn it into a makeshift drum by covering it in fabric or paper and using drumsticks,tin can,tin can,1.61608
27,28,creative,8 Use it as a plant pot by drilling holes in the bottom and filling it with soil,use it as a plant pot by drilling holes in the bottom and filling it with soil,tin can,tin can,1.64499
28,29,creative,9 Create a DIY piggy bank by painting it and cutting a slot in the top,create a diy piggy bank by painting it and cutting a slot in the top,tin can,tin can,0.35126
29,30,creative,10 Use it as a holder for small items like paperclips or hair ties by adding a magnet to the bottom,use it as a holder for small items like paperclips or hair ties by adding a magnet to the bottom,tin can,tin can,1.65312
30,31,creative,1 Tin can lanterns make holes in the can to create a pattern and place a candle or LED light inside to create a beautiful lantern,tin can lanterns make holes in the can to create a pattern and place a candle or led light inside to create a beautiful lantern,tin can,tin can,1.63642
31,32,creative,2 Tin can herb garden drill holes in the bottom of the can and fill with soil and herbs,tin can herb garden drill holes in the bottom of the can and fill with soil and herbs,tin can,tin can,0.36233000000000004
32,33,creative,3 Tin can flower vase paint and decorate the outside of the can and use as a vase for flowers,tin can flower vase paint and decorate the outside of the can and use as a vase for flowers,tin can,tin can,1.63795
33,34,creative,4 Tin can wind chime paint and decorate the cans and hang them from a piece of wood or metal rod to create a wind chime,tin can wind chime paint and decorate the cans and hang them from a piece of wood or metal rod to create a wind chime,tin can,tin can,1.63781
34,35,creative,5 Tin can bird feeder attach a wire hanger to the can and fill with birdseed,tin can bird feeder attach a wire hanger to the can and fill with birdseed,tin can,tin can,0.3628
35,36,creative,6 Tin can pencil holder paint and decorate the can and use it to hold pencils pens and other office supplies,tin can pencil holder paint and decorate the can and use it to hold pencils pens and other office supplies,tin can,tin can,1.63801
36,37,creative,7 Tin can planters drill holes in the bottom of the can and fill with soil and plants,tin can planters drill holes in the bottom of the can and fill with soil and plants,tin can,tin can,1.6233
37,38,creative,8 Tin can phone attach a string to two cans and create a fun toy phone for kids,tin can phone attach a string to two cans and create a fun toy phone for kids,tin can,tin can,1.63776
38,39,creative,9 Tin can drum paint and decorate the can and use it as a drum for kids to play with,tin can drum paint and decorate the can and use it as a drum for kids to play with,tin can,tin can,1.63781
39,40,creative,10 Tin can storage use the can to store small items such as paper clips buttons or screws,tin can storage use the can to store small items such as paper clips buttons or screws,tin can,tin can,1.6383100000000002
40,41,creative,1 A miniature planter for succulents or small herbs,a miniature planter for succulents or small herbs,tin can,tin can,0.34641999999999995
41,42,creative,2 A portable pencil holder for a backpack or desk,a portable pencil holder for a backpack or desk,tin can,tin can,1.6592099999999999
42,43,creative,3 A stringed instrument such as a tin can banjo,a stringed instrument such as a tin can banjo,tin can,tin can,1.68649
43,44,creative,4 A wind chime made with multiple cans of varying sizes,a wind chime made with multiple cans of varying sizes,tin can,tin can,0.35612999999999995
44,45,creative,5 A makeshift lantern with a candle inside,a makeshift lantern with a candle inside,tin can,tin can,1.63537
45,46,creative,6 A birdhouse or feeder,a birdhouse or feeder,tin can,tin can,0.6855800000000001
46,47,creative,7 A unique vase for flowers or dried branches,a unique vase for flowers or dried branches,tin can,tin can,1.6800199999999998
47,48,creative,8 A holder for utensils at a picnic or barbecue,a holder for utensils at a picnic or barbecue,tin can,tin can,1.65434
48,49,creative,9 A toy drum for kids to play with,a toy drum for kids to play with,tin can,tin can,0.36094000000000004
49,50,creative,10 A container for homemade candles or soap,a container for homemade candles or soap,tin can,tin can,1.63825
50,51,creative,1 Plant pot  Tin cans can make great plant pots for small plants like succulents herbs or flowers,plant pot tin cans can make great plant pots for small plants like succulents herbs or flowers,tin can,tin can,0.36219
51,52,creative,2 Bird feeder  Cut a hole in the tin can and fill it with birdseed to make a simple bird feeder,bird feeder cut a hole in the tin can and fill it with birdseed to make a simple bird feeder,tin can,tin can,1.63828
52,53,creative,3 Lantern  Punch holes in the tin can to create a pattern add a candle or LED light and you have a beautiful lantern,lantern punch holes in the tin can to create a pattern add a candle or led light and you have a beautiful lantern,tin can,tin can,1.63638
53,54,creative,4 Pen holder  Use a decorated tin can to store pens pencils and other small office supplies,pen holder use a decorated tin can to store pens pencils and other small office supplies,tin can,tin can,1.63258
54,55,creative,5 Coin bank  Turn a tin can into a coin bank by adding a slot in the top and painting or decorating it,coin bank turn a tin can into a coin bank by adding a slot in the top and painting or decorating it,tin can,tin can,0.34721
55,56,creative,6 Desk organizer  Use a few tin cans to create a fun and functional desk organizer for your office or workspace,desk organizer use a few tin cans to create a fun and functional desk organizer for your office or workspace,tin can,tin can,1.6375600000000001
56,57,creative,7 Kitchen utensil holder  A decorated tin can makes a great holder for kitchen utensils like spatulas and whiskers,kitchen utensil holder a decorated tin can makes a great holder for kitchen utensils like spatulas and whiskers,tin can,tin can,1.65347
57,58,creative,8 Flower vase  A tin can with a fresh coat of paint and some flowers can make a beautiful and unique flower vase,flower vase a tin can with a fresh coat of paint and some flowers can make a beautiful and unique flower vase,tin can,tin can,0.35811000000000004
58,59,creative,9 Toy car  Use a tin can to create a fun and unique toy car for kids,toy car use a tin can to create a fun and unique toy car for kids,tin can,tin can,0.36195999999999995
59,60,creative,10 Musical instrument  Fill tin cans with beans or rice and seal them to create a fun and simple percussion instrument,musical instrument fill tin cans with beans or rice and seal them to create a fun and simple percussion instrument,tin can,tin can,0.36219
60,61,creative,1 DIY lanterns punch holes in the side of the can to create a pattern place a tea light candle inside and hang them outside for a warm glow,diy lanterns punch holes in the side of the can to create a pattern place a tea light candle inside and hang them outside for a warm glow,tin can,tin can,1.63775
61,62,creative,2 Garden markers label your plants by painting the outside of the can and sticking a wooden stick inside with the plant name,garden markers label your plants by painting the outside of the can and sticking a wooden stick inside with the plant name,tin can,tin can,0.36214999999999997
62,63,creative,3 Pencil holder paint the outside and use it to store your pens and pencils on your desk,pencil holder paint the outside and use it to store your pens and pencils on your desk,tin can,tin can,0.39732
63,64,creative,4 Birdhouse cut a hole in the side and decorate the outside for a cute addition to your garden,birdhouse cut a hole in the side and decorate the outside for a cute addition to your garden,tin can,tin can,1.6377899999999999
64,65,creative,5 Piggy bank cut a small slot in the top and paint it to create a unique bank for loose change,piggy bank cut a small slot in the top and paint it to create a unique bank for loose change,tin can,tin can,0.374
65,66,creative,6 Desk organizer stack multiple cans on top of each other and glue them together to create a space for storing paperclips rubber bands and other small office supplies,desk organizer stack multiple cans on top of each other and glue them together to create a space for storing paperclips rubber bands and other small office supplies,tin can,tin can,1.63781
66,67,creative,7 Flower vase paint the outside with bright colors and fill it with fresh flowers for a cheerful centerpiece,flower vase paint the outside with bright colors and fill it with fresh flowers for a cheerful centerpiece,tin can,tin can,0.36240000000000006
67,68,creative,8 Wind chime cut the cans into different lengths paint them in different colors and string them together for a unique outdoor decoration,wind chime cut the cans into different lengths paint them in different colors and string them together for a unique outdoor decoration,tin can,tin can,0.36206000000000005
68,69,creative,9 Camping stove cut out a hole in the side for a small burner and use it to cook food on your next camping trip,camping stove cut out a hole in the side for a small burner and use it to cook food on your next camping trip,tin can,tin can,0.36219
69,70,creative,10 Musical instrument fill the can with small rocks or beans and seal the top for a simple percussion instrument,musical instrument fill the can with small rocks or beans and seal the top for a simple percussion instrument,tin can,tin can,1.63777
70,71,creative,1 A makeshift wind chime  punch holes in the sides and hang small bells or beads from the bottom,a makeshift wind chime punch holes in the sides and hang small bells or beads from the bottom,tin can,tin can,0.36217
