...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Bookends  use two bricks to create sturdy and industriallooking bookends for your bookshelf,bookends use two bricks to create sturdy and industriallooking bookends for your bookshelf,brick,brick,1.15517
1,2,creative,2 Garden markers  write plant names on bricks and use them to mark the rows or sections of your garden,garden markers write plant names on bricks and use them to mark the rows or sections of your garden,brick,brick,0.80833
2,3,creative,3 Doorstop  use a brick as a doorstop to keep doors from slamming shut on a windy day,doorstop use a brick as a doorstop to keep doors from slamming shut on a windy day,brick,brick,1.19167
3,4,creative,4 Outdoor seating  stack several bricks together to create a rustic and sturdy outdoor seat for your garden or patio,outdoor seating stack several bricks together to create a rustic and sturdy outdoor seat for your garden or patio,brick,brick,1.19167
4,5,creative,5 Weightlifting  use a brick as a makeshift weight for weightlifting exercises,weightlifting use a brick as a makeshift weight for weightlifting exercises,brick,brick,0.80835
5,6,creative,6 BBQ pit  create a DIY BBQ pit by stacking bricks in a square and placing a grill on top,bbq pit create a diy bbq pit by stacking bricks in a square and placing a grill on top,brick,brick,1.19193
6,7,creative,7 DIY fireplace  stack bricks to create a rustic and cozy DIY fireplace for your backyard,diy fireplace stack bricks to create a rustic and cozy diy fireplace for your backyard,brick,brick,1.19166
7,8,creative,8 Paperweight  use a brick as a heavy paperweight to keep papers from flying away on a windy day,paperweight use a brick as a heavy paperweight to keep papers from flying away on a windy day,brick,brick,0.80833
8,9,creative,9 Building blocks  use bricks as building blocks for a child's playset or for creating garden structures like a retaining wall,building blocks use bricks as building blocks for a childs playset or for creating garden structures like a retaining wall,brick,brick,1.19169
9,10,creative,10 Kitchen heat diffuser  place a brick on a stovetop to diffuse heat and prevent burning on delicate dishes,kitchen heat diffuser place a brick on a stovetop to diffuse heat and prevent burning on delicate dishes,brick,brick,0.80835
10,11,creative,1 Bookend Use a brick as a decorative bookend to hold up your favorite books on a shelf,bookend use a brick as a decorative bookend to hold up your favorite books on a shelf,brick,brick,0.8083
11,12,creative,2 Doorstop Place a brick in front of a door to prevent it from closing or slamming shut,doorstop place a brick in front of a door to prevent it from closing or slamming shut,brick,brick,1.19167
12,13,creative,3 Garden marker Paint a brick and use it as a garden marker to label your plants or herbs,garden marker paint a brick and use it as a garden marker to label your plants or herbs,brick,brick,1.19167
13,14,creative,4 Exercise weight Use a brick as a weight during your workout routine,exercise weight use a brick as a weight during your workout routine,brick,brick,1.1918
14,15,creative,5 Ice pack Wrap a brick in a towel and freeze it to create an ice pack for sore muscles,ice pack wrap a brick in a towel and freeze it to create an ice pack for sore muscles,brick,brick,0.80833
15,16,creative,6 Pizza stone Heat a brick in the oven and use it as a pizza stone to make homemade pizzas,pizza stone heat a brick in the oven and use it as a pizza stone to make homemade pizzas,brick,brick,0.80833
16,17,creative,7 DIY fire pit Stack a few bricks in a circle to create a DIY fire pit for outdoor gatherings,diy fire pit stack a few bricks in a circle to create a diy fire pit for outdoor gatherings,brick,brick,0.80833
17,18,creative,8 Creative artwork Paint or decorate a brick and display it as a unique piece of artwork,creative artwork paint or decorate a brick and display it as a unique piece of artwork,brick,brick,1.19167
18,19,creative,9 Key holder Drill a hole in a brick and use it as a key holder near your front door,key holder drill a hole in a brick and use it as a key holder near your front door,brick,brick,0.80828
19,20,creative,10 Paperweight Use a brick as a heavy paperweight on your desk or in your office,paperweight use a brick as a heavy paperweight on your desk or in your office,brick,brick,0.80831
20,21,creative,1 Bookend Use a brick as a heavyduty bookend to hold up your books and keep them organized,bookend use a brick as a heavyduty bookend to hold up your books and keep them organized,brick,brick,1.19201
21,22,creative,2 Garden marker Use a brick to mark the boundaries of your garden or to label your plants,garden marker use a brick to mark the boundaries of your garden or to label your plants,brick,brick,0.80833
22,23,creative,3 Doorstop Place a brick behind your door to hold it open or to keep it from slamming shut,doorstop place a brick behind your door to hold it open or to keep it from slamming shut,brick,brick,0.80833
23,24,creative,4 Weight for exercising Use a brick as a weight for exercising such as lifting or doing curls,weight for exercising use a brick as a weight for exercising such as lifting or doing curls,brick,brick,1.19165
24,25,creative,5 Paperweight Use a brick as a paperweight to keep your papers from flying away,paperweight use a brick as a paperweight to keep your papers from flying away,brick,brick,1.19167
25,26,creative,6 Artwork Use a brick as a canvas for painting or decorate it with mosaic tiles for a unique piece of artwork,artwork use a brick as a canvas for painting or decorate it with mosaic tiles for a unique piece of artwork,brick,brick,0.80833
26,27,creative,7 Fire pit Use several bricks to create a fire pit in your backyard for roasting marshmallows or entertaining guests,fire pit use several bricks to create a fire pit in your backyard for roasting marshmallows or entertaining guests,brick,brick,0.80833
27,28,creative,8 DIY furniture Use several bricks to create a DIY bookshelf coffee table or even a bed frame,diy furniture use several bricks to create a diy bookshelf coffee table or even a bed frame,brick,brick,1.19168
28,29,creative,9 Pest deterrent Place a brick in your garden to deter pests such as rabbits or squirrels from eating your plants,pest deterrent place a brick in your garden to deter pests such as rabbits or squirrels from eating your plants,brick,brick,1.19167
29,30,creative,10 Building material Use bricks to build a wall pathway or garden bed for added structure and design in your outdoor space,building material use bricks to build a wall pathway or garden bed for added structure and design in your outdoor space,brick,brick,0.80833
30,31,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
31,32,creative,2 Stack bricks to create a unique garden border or retaining wall,stack bricks to create a unique garden border or retaining wall,brick,brick,0.80827
32,33,creative,3 Build a brick fireplace or outdoor grill,build a brick fireplace or outdoor grill,brick,brick,0.80826
33,34,creative,4 Use bricks to create a decorative pathway or patio,use bricks to create a decorative pathway or patio,brick,brick,0.8084
34,35,creative,5 Place a brick in the toilet tank to reduce water usage,place a brick in the toilet tank to reduce water usage,brick,brick,0.80812
35,36,creative,6 Use a brick as a weight for outdoor games like horseshoes or bocce,use a brick as a weight for outdoor games like horseshoes or bocce,brick,brick,0.80797
36,37,creative,7 Create a rustic candle holder by hollowing out a brick and placing a candle inside,create a rustic candle holder by hollowing out a brick and placing a candle inside,brick,brick,1.19163
37,38,creative,8 Use a brick as a makeshift weightlifting tool for an athome workout,use a brick as a makeshift weightlifting tool for an athome workout,brick,brick,0.80833
38,39,creative,9 Paint bricks with different designs to create a colorful garden sculpture,paint bricks with different designs to create a colorful garden sculpture,brick,brick,0.80832
39,40,creative,10 Use a brick as a base for a DIY outdoor table or stool,use a brick as a base for a diy outdoor table or stool,brick,brick,1.19167
40,41,creative,1 A doorstop  A brick can hold open heavy doors especially in windy areas,a doorstop a brick can hold open heavy doors especially in windy areas,brick,brick,0.80833
