...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Turn a book into a secret storage compartment by cutting out the pages to create a hollow space for small items,turn a book into a secret storage compartment by cutting out the pages to create a hollow space for small items,book,book,0.77876
1,2,creative,2 Use a hardcover book as a makeshift laptop stand,use a hardcover book as a makeshift laptop stand,book,book,1.21972
2,3,creative,3 Create a unique piece of wall art by framing a book cover or pages from a favorite book,create a unique piece of wall art by framing a book cover or pages from a favorite book,book,book,1.2319499999999999
3,4,creative,4 Use a book as a makeshift doorstop,use a book as a makeshift doorstop,book,book,1.21993
4,5,creative,5 Use pages from a book to create personalized wrapping paper or gift tags,use pages from a book to create personalized wrapping paper or gift tags,book,book,0.74034
5,6,creative,6 Cut pages from a book to create unique paper crafts such as origami or paper flowers,cut pages from a book to create unique paper crafts such as origami or paper flowers,book,book,0.78041
6,7,creative,7 Use a book as a makeshift cookbook holder while cooking,use a book as a makeshift cookbook holder while cooking,book,book,1.2235800000000001
7,8,creative,8 Create a book lamp by cutting out the center of a thick book and inserting a lamp cord and light bulb,create a book lamp by cutting out the center of a thick book and inserting a lamp cord and light bulb,book,book,1.20905
8,9,creative,9 Use a book as a makeshift booster seat for children,use a book as a makeshift booster seat for children,book,book,1.21906
9,10,creative,10 Create a bookthemed centerpiece by placing flowers or other decor inside an open book,create a bookthemed centerpiece by placing flowers or other decor inside an open book,book,book,0.78103
10,11,creative,1 A book can be hollowed out and used as a secret storage compartment for small items,a book can be hollowed out and used as a secret storage compartment for small items,book,book,0.78522
11,12,creative,2 Pages from a book can be folded and shaped into unique origami art pieces,pages from a book can be folded and shaped into unique origami art pieces,book,book,1.29974
12,13,creative,3 A book can be turned into a lampshade by attaching a light fixture to the inside cover and cutting out shapes in the pages for the light to shine through,a book can be turned into a lampshade by attaching a light fixture to the inside cover and cutting out shapes in the pages for the light to shine through,book,book,0.78771
13,14,creative,4 Pages from a book can be used as wrapping paper for presents,pages from a book can be used as wrapping paper for presents,book,book,1.30287
14,15,creative,5 A book can be cut up and used to create a decoupage design on a piece of furniture or home decor item,a book can be cut up and used to create a decoupage design on a piece of furniture or home decor item,book,book,0.76007
15,16,creative,6 Pages from a book can be used as wallpaper to create a unique literarythemed room,pages from a book can be used as wallpaper to create a unique literarythemed room,book,book,0.82297
16,17,creative,7 A book can be turned into a planter by cutting out a space in the pages for soil and inserting a small plant,a book can be turned into a planter by cutting out a space in the pages for soil and inserting a small plant,book,book,1.22798
17,18,creative,8 Pages from a book can be used as a mat to frame a favorite quote or piece of art,pages from a book can be used as a mat to frame a favorite quote or piece of art,book,book,0.7801
18,19,creative,9 A book can be turned into a birdhouse by cutting out a hole in the pages for the entrance and adding a perch,a book can be turned into a birdhouse by cutting out a hole in the pages for the entrance and adding a perch,book,book,1.21768
19,20,creative,10 Pages from a book can be used to create a unique garland for a party or event,pages from a book can be used to create a unique garland for a party or event,book,book,1.26028
20,21,creative,1 Turning a book into a secret storage compartment,turning a book into a secret storage compartment,book,book,1.29926
21,22,creative,2 A book can be used as a makeshift pillow or cushion,a book can be used as a makeshift pillow or cushion,book,book,0.75324
22,23,creative,3 Cutting pages out of a book to create unique artwork or sculptures,cutting pages out of a book to create unique artwork or sculptures,book,book,1.23359
23,24,creative,4 Using a book as a makeshift doorstop,using a book as a makeshift doorstop,book,book,1.22005
24,25,creative,5 Creating a bookthemed centerpiece or decoration for a party or event,creating a bookthemed centerpiece or decoration for a party or event,book,book,1.21878
25,26,creative,6 Using a book as a makeshift laptop stand,using a book as a makeshift laptop stand,book,book,1.21547
26,27,creative,7 Turning a book into a plant holder by carving out a space for soil and adding a small plant,turning a book into a plant holder by carving out a space for soil and adding a small plant,book,book,0.7780400000000001
27,28,creative,8 Using a book as a makeshift birdhouse by attaching it to a tree and carving out a space for a bird to nest,using a book as a makeshift birdhouse by attaching it to a tree and carving out a space for a bird to nest,book,book,1.21946
28,29,creative,9 Using the pages of a book as gift wrap or to make origami crafts,using the pages of a book as gift wrap or to make origami crafts,book,book,0.78037
29,30,creative,10 Creating a bookthemed lampshade by attaching pages to a lampshade frame,creating a bookthemed lampshade by attaching pages to a lampshade frame,book,book,1.29206
30,31,creative,1 Turn it into a plant pot by cutting out the pages and filling it with soil,turn it into a plant pot by cutting out the pages and filling it with soil,book,book,1.22961
31,32,creative,2 Use it as a laptop stand by placing it under the computer,use it as a laptop stand by placing it under the computer,book,book,1.26443
32,33,creative,3 Create a book sculpture by folding the pages into different shapes and designs,create a book sculpture by folding the pages into different shapes and designs,book,book,0.72858
33,34,creative,4 Turn it into a hidden storage compartment by cutting out the pages and placing small items inside,turn it into a hidden storage compartment by cutting out the pages and placing small items inside,book,book,0.72495
34,35,creative,5 Use it as a doorstop,use it as a doorstop,book,book,1.21342
35,36,creative,6 Turn it into a wallmounted shelf by cutting it in half and attaching it to the wall,turn it into a wallmounted shelf by cutting it in half and attaching it to the wall,book,book,1.30395
36,37,creative,7 Use it as a weight for exercising by holding it while doing arm curls,use it as a weight for exercising by holding it while doing arm curls,book,book,0.79854
37,38,creative,8 Turn it into a musical instrument by attaching strings to the pages and strumming them,turn it into a musical instrument by attaching strings to the pages and strumming them,book,book,1.30637
38,39,creative,9 Use it as a tool for pressing flowers by placing them inside and closing the book,use it as a tool for pressing flowers by placing them inside and closing the book,book,book,1.2204
39,40,creative,10 Turn it into a work of art by painting or drawing on the pages,turn it into a work of art by painting or drawing on the pages,book,book,1.23199
40,41,creative,1 A book can be turned into a secret hiding spot by cutting out the pages and creating a compartment inside,a book can be turned into a secret hiding spot by cutting out the pages and creating a compartment inside,book,book,1.25138
41,42,creative,2 Use a book as a makeshift laptop stand by placing it under the computer to elevate the screen to eye level,use a book as a makeshift laptop stand by placing it under the computer to elevate the screen to eye level,book,book,1.22693
42,43,creative,3 Turn an old book into a plant pot by cutting a hole in the pages and filling it with soil and seeds,turn an old book into a plant pot by cutting a hole in the pages and filling it with soil and seeds,book,book,1.22041
43,44,creative,4 Create a unique piece of art by cutting out the pages of a book to create a 3D sculpture,create a unique piece of art by cutting out the pages of a book to create a d sculpture,book,book,0.77685
44,45,creative,5 Use a book as a weight for pressing flowers or leaves,use a book as a weight for pressing flowers or leaves,book,book,0.77634
45,46,creative,6 Cover a notebook or journal with pages from a favorite book to make it personalized and unique,cover a notebook or journal with pages from a favorite book to make it personalized and unique,book,book,0.77808
46,47,creative,7 Use a book as a makeshift doorstop to prop open a door,use a book as a makeshift doorstop to prop open a door,book,book,1.21879
47,48,creative,8 Turn a book into a birdhouse by hollowing out the pages and adding a roof and perch,turn a book into a birdhouse by hollowing out the pages and adding a roof and perch,book,book,0.81275
48,49,creative,9 Use a book as a unique and creative centerpiece for a dinner party by stacking books of different sizes and adding flowers or candles,use a book as a unique and creative centerpiece for a dinner party by stacking books of different sizes and adding flowers or candles,book,book,1.21953
49,50,creative,10 Create a DIY lampshade by folding pages of a book into a cone shape and attaching them to a lamp frame,create a diy lampshade by folding pages of a book into a cone shape and attaching them to a lamp frame,book,book,0.78388
