...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use it as a pencil holder or desk organizer,use it as a pencil holder or desk organizer,tin can,tin can,0.9019699999999999,0.9284,1.01543,0.80026,1.5306600000000001,1.03534,-0.00257
1,2,creative,2 Cut off both ends and create a small plant pot,cut off both ends and create a small plant pot,tin can,tin can,1.15115,0.9349,0.82019,0.80252,0.3538,0.81251,-0.00893
2,3,creative,3 Turn it into a wind chime by hanging various sized cans from a string or wire,turn it into a wind chime by hanging various sized cans from a string or wire,tin can,tin can,0.85037,1.11563,0.99405,0.80094,0.36134999999999995,0.82447,0.00448
3,4,creative,4 Create a homemade drum by adding a stretched membrane over the open end,create a homemade drum by adding a stretched membrane over the open end,tin can,tin can,0.91386,0.98089,0.94782,0.8006,0.36736,0.80211,-0.00431
4,5,creative,5 Use it as a cookie cutter for perfectly shaped baked goods,use it as a cookie cutter for perfectly shaped baked goods,tin can,tin can,0.81497,0.92271,1.01672,0.8009999999999999,1.28657,0.96839,-0.00421
5,6,creative,6 Cut off the top and use it as a bird feeder by filling it with birdseed,cut off the top and use it as a bird feeder by filling it with birdseed,tin can,tin can,1.03247,0.97744,0.98953,0.80094,0.37388999999999994,0.83485,-0.00247
6,7,creative,7 Use it to collect spare change for a charity donation,use it to collect spare change for a charity donation,tin can,tin can,0.99516,1.03653,0.9448300000000001,0.80072,0.35653999999999997,0.82676,-5.1e-4
7,8,creative,8 Create a unique light fixture by placing a light bulb inside and cutting designs into the sides,create a unique light fixture by placing a light bulb inside and cutting designs into the sides,tin can,tin can,1.05278,0.9925,0.99217,0.80227,0.30035,0.82801,-0.00161
8,9,creative,9 Fill it with water and freeze to make a makeshift ice pack for an injury,fill it with water and freeze to make a makeshift ice pack for an injury,tin can,tin can,0.981,0.96413,0.99179,0.80093,1.63778,1.07513,-2.6e-4
9,10,creative,10 Use it as a stamp by dipping the bottom in paint and pressing it onto paper,use it as a stamp by dipping the bottom in paint and pressing it onto paper,tin can,tin can,1.1589,1.02153,0.96442,0.80093,0.32663,0.85448,2.8e-4
10,11,creative,1 Turn a can into a DIY birdhouse  drill a hole in the side insert a stick perch and attach it to a tree or fence,turn a can into a diy birdhouse drill a hole in the side insert a stick perch and attach it to a tree or fence,tin can,tin can,0.88137,0.96507,1.03035,0.80093,1.6379000000000001,1.06312,1.1e-4
