,id,item,response,condition
0,1,fork,1. Using a fork to scratch an itch in hard-to-reach areas of the back,creative
1,2,fork,2. Using a fork as a miniature whisk to mix small amounts of ingredients,creative
2,3,fork,3. Using a fork as a hair accessory or to comb through tangled hair,creative
3,4,fork,4. Using a fork as a makeshift lockpick in an emergency,creative
4,5,fork,5. Creating fork-based art by bending and shaping the tines into different designs,creative
5,6,fork,"6. Using a fork as a tool to clean small crevices, like computer keyboards or car vents",creative
6,7,fork,7. Using a fork to aerate soil when gardening,creative
7,8,fork,8. Building a miniature fork catapult for fun or as a science experiment,creative
8,9,fork,9. Using a fork to create unique patterns when painting or stamping,creative
9,10,fork,10. Using a fork as a musical instrument by tapping it on different surfaces to create percussion sounds.,creative
10,11,fork,1. Use a fork as a hair accessory by inserting it in an updo or bun for a unique twist.,creative
11,12,fork,2. Create a mini easel by bending the prongs of a fork upward and using it to display small paintings or pictures.,creative
12,13,fork,3. Make a fork plant marker by labeling herb or garden plants with a Sharpie and sticking the fork into the soil.,creative
13,14,fork,4. Use a fork to create textured patterns in dough or pastry by pressing the prongs into the surface.,creative
14,15,fork,5. Turn a fork into a DIY stylus by wrapping the handle in aluminum foil and using it on a touch screen.,creative
15,16,fork,6. Create a unique wind chime by hanging multiple forks from a tree or porch and letting them clink together in the wind.,creative
16,17,fork,7. Use a fork as a tool for painting small details or textures in artwork or crafts.,creative
17,18,fork,8. Turn a fork into a jewelry holder by wrapping string around the prongs and hanging earrings or necklaces from it.,creative
18,19,fork,9. Use a fork to create a fun pattern in mashed potatoes or other pureed foods on your plate.,creative
19,20,fork,10. Turn a fork into a phone stand by bending the prongs slightly and resting the phone against them.,creative
20,21,fork,1. Use a fork to aerate soil in your garden,creative
21,22,fork,2. Use a fork to create a textured design in clay or pottery,creative
22,23,fork,3. Use a fork as a makeshift hair accessory or hairpin,creative
23,24,fork,4. Use a fork to create a unique pattern in paint as a DIY art project,creative
24,25,fork,5. Use a fork to hold a candle in place on a windy day,creative
25,26,fork,6. Use a fork to cut cheese or soft fruits like kiwi,creative
26,27,fork,7. Use a fork to pull apart meat or shred cooked vegetables,creative
27,28,fork,8. Use a fork to make a unique presentation for appetizers or hors d'oeuvres,creative
28,29,fork,9. Use a fork to make tiny holes in cookies or bread dough for a decorative effect,creative
29,30,fork,10. Use a fork as a percussion instrument for making music or sound effects.,creative
30,31,fork,1. Use the tines of a fork to create textured patterns in clay or playdough.,creative
31,32,fork,2. Bend the tines and use a fork as a makeshift hair comb or pick.,creative
32,33,fork,"3. Use two forks to create a miniature catapult, launching small objects across the room.",creative
33,34,fork,4. Stick a fork into the ground to serve as a plant marker or support.,creative
34,35,fork,5. Attach a fork to a wooden rod to make a unique wind chime.,creative
35,36,fork,6. Use the tines of a fork as a stencil to create artwork or prints.,creative
36,37,fork,7. Cut off the handle of a fork and use it as a unique keychain or zipper pull.,creative
37,38,fork,8. Stick a fork into a cork to make a fun and functional DIY drink stirrer.,creative
38,39,fork,9. Use a fork to scrunch up paper for an interesting textured effect.,creative
39,40,fork,10. Create a makeshift easel by balancing a fork on top of a mug or glass.,creative
40,41,fork,1. Use a fork as a makeshift hairbrush to comb through knots.,creative
41,42,fork,2. Turn a fork into a miniature rake for a small garden or potted plant.,creative
42,43,fork,3. Use a fork to decorate a cake or pie by creating unique designs or patterns in the frosting.,creative
43,44,fork,4. Use a fork to create intricate patterns in clay or Play-Doh.,creative
44,45,fork,5. Use a fork to fish small items out of narrow crevices or cracks.,creative
45,46,fork,6. Use a fork to create string art by wrapping thread around the tines and pulling tight.,creative
46,47,fork,7. Use a fork as a gentle massage tool by running the tines over sore muscles.,creative
47,48,fork,8. Use a fork to hold a small candle upright in a candle holder.,creative
48,49,fork,9. Use a fork as an emergency screwdriver by using the tines to turn screws.,creative
49,50,fork,10. Use a fork as a fun percussion instrument by tapping it against different surfaces to create different sounds.,creative
50,51,fork,"1. Use a fork to create unique patterns and designs in clay, playdough, or paint.",creative
51,52,fork,2. Bend the tines of a fork to create a DIY hair accessory.,creative
52,53,fork,3. Use a fork to hold a book open while reading.,creative
53,54,fork,4. Use a fork to create a unique texture on a cake or other baked goods.,creative
54,55,fork,5. Use the handle of a fork to create a miniature fairy garden.,creative
55,56,fork,6. Create a makeshift grill by hanging a fork over an open flame and cooking small items like vegetables or marshmallows.,creative
56,57,fork,7. Bend a fork into a hook shape and use it to hang jewelry or other small items.,creative
57,58,fork,8. Use a fork to create a DIY back scratcher.,creative
58,59,fork,9. Use a fork to mix up ingredients for a DIY face mask.,creative
59,60,fork,10. Bend the tines of a fork to create a unique wall decoration.,creative
60,61,fork,1. Use the tines of the fork to create a unique pattern in clay or dough.,creative
61,62,fork,2. Use a fork to make decorative petals for a cake or pastry.,creative
62,63,fork,3. Use the handle of the fork as a makeshift stylus for drawing or writing on a touchscreen device.,creative
63,64,fork,4. Use the tongs of the fork to retrieve items from a hard-to-reach place.,creative
64,65,fork,5. Use a fork to straighten out bent or twisted wires.,creative
65,66,fork,6. Use the prongs of the fork to create texture on a piece of artwork or craft project.,creative
66,67,fork,7. Use a fork to aerate soil before planting seeds in a garden.,creative
67,68,fork,8. Use the handle of the fork to create a makeshift hairbrush.,creative
68,69,fork,"9. Use the tines of the fork to create a musical instrument, such as a thumb piano or kalimba.",creative
69,70,fork,10. Use a fork as a tool to measure and cut portions of food.,creative
70,71,fork,1. Using the fork as a back scratcher,creative
71,72,fork,2. Using the fork to make unique patterns in pottery or clay,creative
72,73,fork,3. Using the fork to hold up a small plant stem in a garden,creative
73,74,fork,4. Using the fork as a tool to help re-thread elastic through fabric,creative
74,75,fork,5. Using the tines of the fork to make a small decorative fence around a miniature garden,creative
75,76,fork,6. Using the fork as a tool for cake decorating,creative
76,77,fork,7. Using the fork as a makeshift screwdriver for small tasks,creative
77,78,fork,8. Using the fork as a tool for carving intricate designs on a pumpkin,creative
78,79,fork,9. Using the fork as a tool to remove small stones or debris from a horse's hooves,creative
79,80,fork,10. Using the fork to create a unique texture in a painting or drawing.,creative
80,81,fork,1. Use a fork as a hair accessory by weaving it through a braid or updo for a quirky touch.,creative
81,82,fork,2. Fashion a fork into a mini easel by propping up a small canvas or picture frame on its prongs.,creative
82,83,fork,3. Use a fork as a bookmark by slipping its tines between the pages of your favorite book.,creative
83,84,fork,4. Turn a fork into a unique plant marker by bending its prongs and labeling each one with the name of a different herb or flower.,creative
84,85,fork,5. Use forks as handles for a homemade costume with a futuristic or robot-inspired theme.,creative
85,86,fork,6. Transform a fork into a mini harp by attaching rubber bands to each of its prongs.,creative
86,87,fork,7. Set up a mini catapult by bending a fork and using it to launch small marshmallows or grapes across the room.,creative
87,88,fork,"8. Use forks as impromptu knitting needles, with the rounded handles providing a comfortable grip.",creative
88,89,fork,9. Fashion a fork into a stylish paper clip or memo holder by bending its prongs to hold a small note or photo upright.,creative
89,90,fork,10. Increase your grip strength with a DIY fork workout by squeezing and releasing the prongs repeatedly to exercise your fingers.,creative
90,91,fork,1. As a miniature picket fence for displaying small plants or decorative items.,creative
91,92,fork,2. To create textured designs in clay or Play-Doh.,creative
92,93,fork,3. As a makeshift microphone for karaoke sessions.,creative
93,94,fork,4. To create interesting patterns in frosting on cakes or cupcakes.,creative
94,95,fork,5. As a tool for escaping from a locked car by using it to pull up on the lock or unlock button.,creative
95,96,fork,6. As a tool for creating unique prints in paint or ink.,creative
96,97,fork,7. To create a DIY apple corer by pushing it into the center of the apple and twisting.,creative
97,98,fork,8. As a tool for carving intricate designs in soap or candles.,creative
98,99,fork,9. As a makeshift knitting needle or crochet hook for small-scale projects.,creative
99,100,fork,10. To create decorative patterns in the soil of potted plants.,creative
100,101,fork,1. Use the tines of a fork to create textured patterns in clay or other crafting materials.,creative
101,102,fork,2. Use a fork to separate strands of tangled jewelry or chains.,creative
102,103,fork,3. Use a fork as a mini barbecue grill to cook small items like shrimp or vegetables.,creative
103,104,fork,4. Use the tines of a fork to create a decorative pattern on the top of a cake or pie crust.,creative
104,105,fork,5. Use a fork to make holes in the soil for planting seeds.,creative
105,106,fork,6. Use a fork to create mini hair curlers by wrapping small sections of hair around the tines and securing with bobby pins.,creative
106,107,fork,7. Use a fork to mash boiled potatoes before making mashed potatoes.,creative
107,108,fork,8. Use a fork as a makeshift lock pick in case of emergency.,creative
108,109,fork,9. Use a fork to make creative food sculptures for a party or special event.,creative
109,110,fork,10. Use a fork to mix and fluff up soil while tending to indoor plants.,creative
110,111,fork,1. Use a fork as a makeshift hair accessory by using the tines to secure a small bun or braid.,creative
111,112,fork,2. Roll a piece of clay or dough over the tines of a fork to create a textured pattern.,creative
112,113,fork,3. Use a fork to mix together a salad or pasta dish.,creative
113,114,fork,4. Turn a fork into a small container by bending the tines together to create sides and a base.,creative
114,115,fork,5. Use a fork as a plant marker by writing the name of the plant on the handle with a permanent marker.,creative
115,116,fork,6. Create a fork sculpture by bending and twisting the tines into interesting shapes.,creative
116,117,fork,7. Use a fork to add texture to a painting by dragging the tines through wet paint.,creative
117,118,fork,8. Use a fork as a tool to help thread needles by inserting the thread through the tines.,creative
118,119,fork,9. Use a fork to hold open a book while reading to keep the pages from closing.,creative
119,120,fork,10. Bundle small items like pencils or utensils together by tying them to a fork with a piece of ribbon or string.,creative
120,121,fork,1. Use a fork to create texture and design in clay or playdough.,creative
121,122,fork,2. Use a fork to make mini marshmallow roasting sticks for indoor s'mores.,creative
122,123,fork,3. Use a fork to create a makeshift guitar by running a finger along the tines.,creative
123,124,fork,4. Use a fork as a hair accessory by bending the tines to hold hair in place.,creative
124,125,fork,5. Use a fork as a back scratcher.,creative
125,126,fork,6. Use a fork to anchor small plants or herbs in a garden bed.,creative
126,127,fork,7. Use a fork to skewer small appetizers for party trays.,creative
127,128,fork,8. Use a fork to create a DIY stencil by tracing along the tines onto paper or fabric.,creative
128,129,fork,9. Use a fork to create a textured pattern on a painted wall by lightly dragging the tines.,creative
129,130,fork,10. Use a fork to clean hard-to-reach spots in a keyboard or other electronic device.,creative
130,131,fork,1. Use fork tines to make marks in clay when sculpting.,creative
131,132,fork,2. Create a unique piece of jewelry by bending the tines of a fork into a bracelet or necklace.,creative
132,133,fork,3. Use a fork to hold down small food items while slicing them thinly with a knife.,creative
133,134,fork,4. Bend the tines to make a fork into a hook that can hold up a towel or other small item on the wall.,creative
134,135,fork,5. Use the handle and tines of a fork to create a small stylus for using touchscreens that require a fine point.,creative
