...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Using bricks to create a rustic garden path or edging for flower beds,using bricks to create a rustic garden path or edging for flower beds,brick,brick,0.83577,0.93267,1.00418,0.96788,1.19167,0.98643,0.01827
1,2,creative,2 Making an outdoor fire pit by stacking bricks in a circular shape,making an outdoor fire pit by stacking bricks in a circular shape,brick,brick,1.09819,1.08531,1.02305,0.96817,1.19149,1.07324,0.0156
2,3,creative,3 Creating a unique bookshelf by stacking bricks with wooden shelving in between them,creating a unique bookshelf by stacking bricks with wooden shelving in between them,brick,brick,1.05738,1.03764,0.94808,0.96762,0.82158,0.96646,-0.01707
3,4,creative,4 Building a brick mailbox that stands out from traditional metal ones,building a brick mailbox that stands out from traditional metal ones,brick,brick,0.86484,0.95921,1.03605,0.96747,0.80835,0.92718,-0.00389
4,5,creative,5 Using bricks for art projects such as painting them and stacking them to make a sculpture,using bricks for art projects such as painting them and stacking them to make a sculpture,brick,brick,1.0177,0.94092,1.02798,0.96754,1.19176,1.02918,0.01037
5,6,creative,6 Making a heavyduty doorstop by wrapping a brick with decorative fabric or duct tape,making a heavyduty doorstop by wrapping a brick with decorative fabric or duct tape,brick,brick,0.84096,0.96254,0.885,0.96776,1.18998,0.96925,0.0088
6,7,creative,7 Creating a DIY weight set by stacking bricks with PVC pipe in between with a handle attached,creating a diy weight set by stacking bricks with pvc pipe in between with a handle attached,brick,brick,0.95974,0.98825,1.05352,0.96738,0.80836,0.95545,-0.00572
7,8,creative,8 Using bricks to create a unique seating area in a backyard such as a bench or conversation pit,using bricks to create a unique seating area in a backyard such as a bench or conversation pit,brick,brick,0.94473,0.97826,1.05629,0.96753,1.19167,1.0277,0.02018
8,9,creative,9 Constructing a raised garden bed using a circle of bricks making it easier to grow plants without needing to bend over,constructing a raised garden bed using a circle of bricks making it easier to grow plants without needing to bend over,brick,brick,0.97459,1.05423,1.03177,0.96754,0.80833,0.96729,-0.00382
9,10,creative,10 Using bricks to create a unique headboard for a bed by stacking and attaching them to the wall,using bricks to create a unique headboard for a bed by stacking and attaching them to the wall,brick,brick,0.84782,1.0533,1.05979,0.96754,0.80827,0.94734,0.00634
10,11,creative,1 Use as a doorstop or paperweight,use as a doorstop or paperweight,brick,brick,0.92966,1.03594,0.9798,0.98949,1.19157,1.02529,0.0115
11,12,creative,2 Make a small bookshelf for your favorite books,make a small bookshelf for your favorite books,brick,brick,1.03574,1.0599,1.01698,0.96654,0.80828,0.97749,-0.00816
12,13,creative,3 Use as a weight to anchor outdoor furniture during windy conditions,use as a weight to anchor outdoor furniture during windy conditions,brick,brick,1.08022,0.96016,1.05206,0.97013,1.19072,1.05066,0.0095
13,14,creative,4 Create a decorative garden pathway by laying bricks in a pattern,create a decorative garden pathway by laying bricks in a pattern,brick,brick,0.85551,1.03928,1.08009,0.96713,0.80825,0.95005,0.00688
14,15,creative,5 Use as a weight to press flowers or leaves,use as a weight to press flowers or leaves,brick,brick,0.96629,1.03927,1.07139,0.96727,0.80743,0.97033,-6.6e-4
15,16,creative,6 Glue a picture frame to the front of a brick to create a unique photo holder,glue a picture frame to the front of a brick to create a unique photo holder,brick,brick,0.85185,1.01034,1.04761,0.96754,1.19249,1.01397,0.02734
16,17,creative,7 Use as a platform for a potted plant,use as a platform for a potted plant,brick,brick,0.99735,1.06246,0.95231,0.96727,1.10925,1.01773,0.00802
17,18,creative,8 Make a creative DIY fire pit by stacking bricks in a circle,make a creative diy fire pit by stacking bricks in a circle,brick,brick,1.16425,0.99483,1.04119,0.96833,0.80829,0.99538,-0.01891
18,19,creative,9 Use as a base for a homemade bird bath,use as a base for a homemade bird bath,brick,brick,1.03416,1.06311,1.00124,0.96728,0.8083,0.97482,-0.00954
19,20,creative,10 Create a unique outdoor bench by stacking and gluing bricks together,create a unique outdoor bench by stacking and gluing bricks together,brick,brick,1.16025,0.8874299999999999,1.0571,0.96021,1.19168,1.05133,0.00284
20,21,creative,1 Use a brick as a doorstop for a heavy door,use a brick as a doorstop for a heavy door,brick,brick,1.09652,0.96221,1.00481,0.96743,0.8083400000000001,0.96786,-0.02046
21,22,creative,2 Create a unique bookend by stacking several bricks together,create a unique bookend by stacking several bricks together,brick,brick,1.04089,0.95324,0.98227,0.96671,1.19242,1.02711,0.00586
22,23,creative,3 Use a brick as a weight to hold down a tarp or blanket during a picnic,use a brick as a weight to hold down a tarp or blanket during a picnic,brick,brick,1.06541,0.94458,1.04554,0.96754,1.19157,1.04293,0.00944
23,24,creative,4 Build a small herb or vegetable garden by stacking bricks to create a raised bed,build a small herb or vegetable garden by stacking bricks to create a raised bed,brick,brick,0.87283,1.03065,0.9468799999999999,0.96754,0.80838,0.92526,-0.00753
24,25,creative,5 Create a makeshift outdoor fireplace by stacking bricks in a circle and lighting a fire in the center,create a makeshift outdoor fireplace by stacking bricks in a circle and lighting a fire in the center,brick,brick,0.8487899999999999,0.95675,1.05059,0.96754,1.19167,1.00307,0.02378
25,26,creative,6 Make a stepping stone path by embedding bricks in gravel or sand,make a stepping stone path by embedding bricks in gravel or sand,brick,brick,1.04467,1.04978,1.00482,0.96757,0.80832,0.97503,-0.0109
26,27,creative,7 Use bricks as weights in a workout routine,use bricks as weights in a workout routine,brick,brick,1.0453,0.95995,0.85072,0.96495,1.19173,1.00253,-0.00589
27,28,creative,8 Create a unique piece of wall art by painting and arranging bricks in a pattern,create a unique piece of wall art by painting and arranging bricks in a pattern,brick,brick,0.84831,0.95553,0.99155,0.96752,0.80819,0.91422,-0.00742
