...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Turn it into a minigarden by filling it with soil and planting herbs or flowers,turn it into a minigarden by filling it with soil and planting herbs or flowers,box,box,1.2233100000000001
1,2,creative,2 Use it as a makeshift drum by covering it with a stretched piece of fabric or paper and tapping on it with drumsticks,use it as a makeshift drum by covering it with a stretched piece of fabric or paper and tapping on it with drumsticks,box,box,1.22156
2,3,creative,3 Create a DIY pinball machine by cutting holes in the box and adding obstacles and a marble,create a diy pinball machine by cutting holes in the box and adding obstacles and a marble,box,box,1.22465
3,4,creative,4 Make a cardboard castle by cutting out turrets windows and doors and decorating it with paint or markers,make a cardboard castle by cutting out turrets windows and doors and decorating it with paint or markers,box,box,0.77655
4,5,creative,5 Use it as a shadow puppet theater by cutting out a screen and projecting a light behind it,use it as a shadow puppet theater by cutting out a screen and projecting a light behind it,box,box,1.22534
5,6,creative,6 Turn it into a cat or dog house by cutting out a door and adding a cushion or blanket inside,turn it into a cat or dog house by cutting out a door and adding a cushion or blanket inside,box,box,1.22424
6,7,creative,7 Use it as a photo booth backdrop by covering it with patterned paper or fabric and adding props,use it as a photo booth backdrop by covering it with patterned paper or fabric and adding props,box,box,1.16321
7,8,creative,8 Create a cardboard maze by cutting out walls and adding dead ends and twists and turns,create a cardboard maze by cutting out walls and adding dead ends and twists and turns,box,box,0.77658
8,9,creative,9 Turn it into a DIY piñata by filling it with candy and covering it with colorful tissue paper,turn it into a diy piñata by filling it with candy and covering it with colorful tissue paper,box,box,1.22023
9,10,creative,10 Use it as a storage solution by adding dividers and compartments for organizing small items,use it as a storage solution by adding dividers and compartments for organizing small items,box,box,0.78245
10,11,creative,1 Turn it into a minigarden by filling it with soil and planting herbs or small plants,turn it into a minigarden by filling it with soil and planting herbs or small plants,box,box,0.77641
11,12,creative,2 Use it as a makeshift drum by covering it with a thin sheet of plastic and tapping on it with drumsticks,use it as a makeshift drum by covering it with a thin sheet of plastic and tapping on it with drumsticks,box,box,1.22208
12,13,creative,3 Create a DIY pinball machine by cutting out holes and ramps in the box and using marbles as the ball,create a diy pinball machine by cutting out holes and ramps in the box and using marbles as the ball,box,box,0.77347
13,14,creative,4 Turn it into a puppet theater by cutting out a hole for the stage and decorating it with curtains and props,turn it into a puppet theater by cutting out a hole for the stage and decorating it with curtains and props,box,box,0.7768200000000001
14,15,creative,5 Use it as a cat playhouse by cutting out holes for windows and doors and adding a scratching post and toys inside,use it as a cat playhouse by cutting out holes for windows and doors and adding a scratching post and toys inside,box,box,0.75817
