...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Use a fork to create a unique pattern in clay or playdough,use a fork to create a unique pattern in clay or playdough,fork,fork,0.94109
1,2,creative,2 Use a fork to create a makeshift hairbrush or comb,use a fork to create a makeshift hairbrush or comb,fork,fork,0.9412
2,3,creative,3 Use a fork to create a miniature garden by poking holes in soil and planting small seeds,use a fork to create a miniature garden by poking holes in soil and planting small seeds,fork,fork,0.94114
3,4,creative,4 Use a fork to create a DIY candle holder by sticking the prongs into the wax,use a fork to create a diy candle holder by sticking the prongs into the wax,fork,fork,1.05886
4,5,creative,5 Use a fork to create a unique piece of art by dipping the prongs in paint and stamping onto a canvas,use a fork to create a unique piece of art by dipping the prongs in paint and stamping onto a canvas,fork,fork,1.05886
5,6,creative,6 Use a fork to create a fun game by balancing it on your finger and trying to keep it upright for as long as possible,use a fork to create a fun game by balancing it on your finger and trying to keep it upright for as long as possible,fork,fork,0.94113
6,7,creative,7 Use a fork to create a homemade musical instrument by attaching rubber bands to the prongs and plucking them like a guitar,use a fork to create a homemade musical instrument by attaching rubber bands to the prongs and plucking them like a guitar,fork,fork,0.94114
7,8,creative,8 Use a fork to create a unique piece of jewelry by bending the prongs into a desired shape and attaching to a chain or earring hook,use a fork to create a unique piece of jewelry by bending the prongs into a desired shape and attaching to a chain or earring hook,fork,fork,1.05886
8,9,creative,9 Use a fork to create a fun photo prop by holding it up to your mouth and pretending to eat oversized food,use a fork to create a fun photo prop by holding it up to your mouth and pretending to eat oversized food,fork,fork,0.94112
9,10,creative,10 Use a fork to create a DIY bird feeder by sticking it into an apple or other fruit and hanging it outside for birds to enjoy,use a fork to create a diy bird feeder by sticking it into an apple or other fruit and hanging it outside for birds to enjoy,fork,fork,1.05886
10,11,creative,1 Use a fork to create a unique pattern in clay or playdough,use a fork to create a unique pattern in clay or playdough,fork,fork,0.94109
11,12,creative,2 Use a fork to create a decorative edge on a pie crust or pastry,use a fork to create a decorative edge on a pie crust or pastry,fork,fork,1.05946
12,13,creative,3 Use a fork to create a makeshift hairbrush or comb,use a fork to create a makeshift hairbrush or comb,fork,fork,0.9412
13,14,creative,4 Use a fork to create a DIY jewelry holder by bending the tines to hold necklaces and bracelets,use a fork to create a diy jewelry holder by bending the tines to hold necklaces and bracelets,fork,fork,1.05841
14,15,creative,5 Use a fork to create a unique texture on a painting or drawing,use a fork to create a unique texture on a painting or drawing,fork,fork,1.0587
15,16,creative,6 Use a fork to create a DIY plant marker by writing the name of the plant on the handle,use a fork to create a diy plant marker by writing the name of the plant on the handle,fork,fork,1.05884
16,17,creative,7 Use a fork to create a DIY wind chime by attaching small bells or beads to the tines,use a fork to create a diy wind chime by attaching small bells or beads to the tines,fork,fork,1.05886
17,18,creative,8 Use a fork to create a DIY candle holder by bending the tines to hold a candle,use a fork to create a diy candle holder by bending the tines to hold a candle,fork,fork,0.94117
18,19,creative,9 Use a fork to create a DIY photo holder by bending the tines to hold a picture,use a fork to create a diy photo holder by bending the tines to hold a picture,fork,fork,0.94125
19,20,creative,10 Use a fork to create a DIY bookmark by attaching a ribbon or string to the handle,use a fork to create a diy bookmark by attaching a ribbon or string to the handle,fork,fork,0.94131
20,21,creative,1 Use a fork to create a unique pattern in a clay sculpture or pottery piece,use a fork to create a unique pattern in a clay sculpture or pottery piece,fork,fork,0.94113
21,22,creative,2 Use a fork to create a textured design on a cake or other baked goods,use a fork to create a textured design on a cake or other baked goods,fork,fork,1.05881
22,23,creative,3 Use a fork to make a DIY hair accessory by bending the tines and attaching it to a hair clip or headband,use a fork to make a diy hair accessory by bending the tines and attaching it to a hair clip or headband,fork,fork,0.94123
23,24,creative,4 Use a fork to create a makeshift guitar pick for playing acoustic guitar,use a fork to create a makeshift guitar pick for playing acoustic guitar,fork,fork,0.94114
24,25,creative,5 Use a fork to create a unique piece of jewelry by bending the tines and attaching it to a chain or cord,use a fork to create a unique piece of jewelry by bending the tines and attaching it to a chain or cord,fork,fork,0.94069
25,26,creative,6 Use a fork to create a DIY stamp for printing designs on paper or fabric,use a fork to create a diy stamp for printing designs on paper or fabric,fork,fork,1.05765
26,27,creative,7 Use a fork to create a unique piece of art by dipping the tines in paint and stamping them onto a canvas or paper,use a fork to create a unique piece of art by dipping the tines in paint and stamping them onto a canvas or paper,fork,fork,0.9411
27,28,creative,8 Use a fork to create a makeshift comb for styling hair in a pinch,use a fork to create a makeshift comb for styling hair in a pinch,fork,fork,0.94088
28,29,creative,9 Use a fork to create a DIY plant marker by writing the name of the plant on the handle and sticking it in the soil,use a fork to create a diy plant marker by writing the name of the plant on the handle and sticking it in the soil,fork,fork,1.05885
29,30,creative,10 Use a fork to create a unique piece of furniture by attaching the tines to a wooden base and using it as a decorative accent piece,use a fork to create a unique piece of furniture by attaching the tines to a wooden base and using it as a decorative accent piece,fork,fork,1.05863
30,31,creative,1 Use a fork to create a unique pattern on a cake or pie crust,use a fork to create a unique pattern on a cake or pie crust,fork,fork,0.94125
31,32,creative,2 Use a fork to create a DIY necklace or bracelet by bending the tines into a desired shape,use a fork to create a diy necklace or bracelet by bending the tines into a desired shape,fork,fork,1.05649
32,33,creative,3 Use a fork to create a mini garden by sticking it into a potato and planting it in soil,use a fork to create a mini garden by sticking it into a potato and planting it in soil,fork,fork,0.94114
33,34,creative,4 Use a fork to create a makeshift hair accessory by twisting it into a bun or updo,use a fork to create a makeshift hair accessory by twisting it into a bun or updo,fork,fork,0.94122
34,35,creative,5 Use a fork to create a unique piece of art by dipping the tines in paint and stamping onto a canvas,use a fork to create a unique piece of art by dipping the tines in paint and stamping onto a canvas,fork,fork,1.05892
35,36,creative,6 Use a fork to create a DIY stamp by carving a design into the tines and using it to stamp onto paper or fabric,use a fork to create a diy stamp by carving a design into the tines and using it to stamp onto paper or fabric,fork,fork,1.05878
36,37,creative,7 Use a fork to create a makeshift guitar by strumming the tines and using a tissue box as the body,use a fork to create a makeshift guitar by strumming the tines and using a tissue box as the body,fork,fork,1.05886
37,38,creative,8 Use a fork to create a unique candle holder by sticking the tines into a cork or foam block and placing a candle on top,use a fork to create a unique candle holder by sticking the tines into a cork or foam block and placing a candle on top,fork,fork,0.94114
38,39,creative,9 Use a fork to create a DIY wind chime by attaching beads or bells to the tines with string or wire,use a fork to create a diy wind chime by attaching beads or bells to the tines with string or wire,fork,fork,0.94114
39,40,creative,10 Use a fork to create a unique piece of jewelry by wrapping wire around the tines and adding beads or charms,use a fork to create a unique piece of jewelry by wrapping wire around the tines and adding beads or charms,fork,fork,0.94111
40,41,creative,1 Use a fork to create a unique pattern on a piece of clay or pottery,use a fork to create a unique pattern on a piece of clay or pottery,fork,fork,0.94113
41,42,creative,2 Use a fork to create a makeshift hairbrush or comb,use a fork to create a makeshift hairbrush or comb,fork,fork,0.9412
42,43,creative,3 Use a fork to create a DIY cheese grater by bending the tines slightly,use a fork to create a diy cheese grater by bending the tines slightly,fork,fork,0.94111
43,44,creative,4 Use a fork to create a unique texture on a cake or other baked goods,use a fork to create a unique texture on a cake or other baked goods,fork,fork,1.05871
44,45,creative,5 Use a fork to create a makeshift back scratcher,use a fork to create a makeshift back scratcher,fork,fork,1.05887
45,46,creative,6 Use a fork to create a DIY plant marker by writing the name of the plant on the handle,use a fork to create a diy plant marker by writing the name of the plant on the handle,fork,fork,1.05884
46,47,creative,7 Use a fork to create a makeshift fishing hook,use a fork to create a makeshift fishing hook,fork,fork,0.94114
47,48,creative,8 Use a fork to create a DIY candle holder by sticking the tines into the wax,use a fork to create a diy candle holder by sticking the tines into the wax,fork,fork,1.05895
48,49,creative,9 Use a fork to create a makeshift guitar pick,use a fork to create a makeshift guitar pick,fork,fork,0.94114
49,50,creative,10 Use a fork to create a DIY wind chime by hanging several forks from a piece of string or wire,use a fork to create a diy wind chime by hanging several forks from a piece of string or wire,fork,fork,0.94115
50,51,creative,1 Use the tines of the fork to create a unique pattern in clay or playdough,use the tines of the fork to create a unique pattern in clay or playdough,fork,fork,0.94112
51,52,creative,2 Use the handle of the fork as a makeshift stylus for a touchscreen device,use the handle of the fork as a makeshift stylus for a touchscreen device,fork,fork,0.94114
52,53,creative,3 Use the tines of the fork to create a decorative border on a cake or pie crust,use the tines of the fork to create a decorative border on a cake or pie crust,fork,fork,0.94114
53,54,creative,4 Use the fork to create a makeshift hair accessory by twisting it into a bun or updo,use the fork to create a makeshift hair accessory by twisting it into a bun or updo,fork,fork,0.94122
54,55,creative,5 Use the fork to create a unique texture in a painting or drawing,use the fork to create a unique texture in a painting or drawing,fork,fork,1.05869
55,56,creative,6 Use the tines of the fork to create a unique design in a bar of soap,use the tines of the fork to create a unique design in a bar of soap,fork,fork,0.94109
56,57,creative,7 Use the fork to create a makeshift plant marker by writing the name of the plant on the handle,use the fork to create a makeshift plant marker by writing the name of the plant on the handle,fork,fork,0.94115
57,58,creative,8 Use the fork to create a unique texture in a piece of pottery,use the fork to create a unique texture in a piece of pottery,fork,fork,1.05843
58,59,creative,9 Use the fork to create a makeshift guitar pick for playing acoustic guitar,use the fork to create a makeshift guitar pick for playing acoustic guitar,fork,fork,0.94114
59,60,creative,10 Use the fork to create a unique design in a piece of leather or fabric,use the fork to create a unique design in a piece of leather or fabric,fork,fork,0.94064
60,61,creative,1 Use a fork to create a unique piece of art by dipping the prongs in paint and creating a textured design on paper or canvas,use a fork to create a unique piece of art by dipping the prongs in paint and creating a textured design on paper or canvas,fork,fork,0.94115
61,62,creative,2 Use a fork to create a DIY hair accessory by bending the prongs into a decorative shape and attaching it to a hair clip or headband,use a fork to create a diy hair accessory by bending the prongs into a decorative shape and attaching it to a hair clip or headband,fork,fork,0.94115
62,63,creative,3 Use a fork to create a makeshift guitar pick by holding the prongs between your fingers and strumming the strings,use a fork to create a makeshift guitar pick by holding the prongs between your fingers and strumming the strings,fork,fork,1.05886
63,64,creative,4 Use a fork to create a unique piece of jewelry by wrapping wire around the prongs and attaching it to a chain or earring hook,use a fork to create a unique piece of jewelry by wrapping wire around the prongs and attaching it to a chain or earring hook,fork,fork,0.94114
64,65,creative,5 Use a fork to create a DIY plant marker by writing the name of the plant on the handle with a permanent marker,use a fork to create a diy plant marker by writing the name of the plant on the handle with a permanent marker,fork,fork,1.05885
65,66,creative,6 Use a fork to create a unique candle holder by bending the prongs into a decorative shape and placing a tea light candle in the center,use a fork to create a unique candle holder by bending the prongs into a decorative shape and placing a tea light candle in the center,fork,fork,0.94114
66,67,creative,7 Use a fork to create a DIY phone stand by bending the prongs into a stand shape and resting your phone on it,use a fork to create a diy phone stand by bending the prongs into a stand shape and resting your phone on it,fork,fork,0.94114
67,68,creative,8 Use a fork to create a unique napkin ring by wrapping ribbon or twine around the handle and tying it in a bow,use a fork to create a unique napkin ring by wrapping ribbon or twine around the handle and tying it in a bow,fork,fork,0.94115
68,69,creative,9 Use a fork to create a DIY cheese grater by bending the prongs at an angle and using it to grate cheese,use a fork to create a diy cheese grater by bending the prongs at an angle and using it to grate cheese,fork,fork,0.94114
69,70,creative,10 Use a fork to create a unique keychain by attaching a small charm or bead to the handle with a jump ring,use a fork to create a unique keychain by attaching a small charm or bead to the handle with a jump ring,fork,fork,1.05838
70,71,creative,1 Use a fork as a makeshift hair accessory to hold up a messy bun or braid,use a fork as a makeshift hair accessory to hold up a messy bun or braid,fork,fork,1.05885
71,72,creative,2 Use a fork to create textured patterns in clay or playdough,use a fork to create textured patterns in clay or playdough,fork,fork,0.9412
72,73,creative,3 Use a fork to create a unique design on a cake or pie crust,use a fork to create a unique design on a cake or pie crust,fork,fork,0.9413
73,74,creative,4 Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces,use a fork to create a diy jewelry holder by bending the prongs to hold earrings or necklaces,fork,fork,1.05884
74,75,creative,5 Use a fork to create a mini garden by sticking it into a potato and planting it in soil,use a fork to create a mini garden by sticking it into a potato and planting it in soil,fork,fork,0.94114
75,76,creative,6 Use a fork to create a unique piece of art by dipping the prongs in paint and stamping onto a canvas,use a fork to create a unique piece of art by dipping the prongs in paint and stamping onto a canvas,fork,fork,1.05886
76,77,creative,7 Use a fork to create a DIY wind chime by attaching different sized forks to string or wire,use a fork to create a diy wind chime by attaching different sized forks to string or wire,fork,fork,0.94121
77,78,creative,8 Use a fork to create a unique bookmark by attaching a ribbon or tassel to the handle,use a fork to create a unique bookmark by attaching a ribbon or tassel to the handle,fork,fork,0.94103
