...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,1.1051
1,2,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.07835
2,3,creative,3 Make a rope ladder for a treehouse or loft,make a rope ladder for a treehouse or loft,rope,rope,1.11311
3,4,creative,4 Use a rope to create a DIY clothesline,use a rope to create a diy clothesline,rope,rope,1.10293
4,5,creative,5 Create a rope obstacle course for kids or adults,create a rope obstacle course for kids or adults,rope,rope,0.89401
5,6,creative,6 Use a rope to create a DIY dog leash or harness,use a rope to create a diy dog leash or harness,rope,rope,1.10082
6,7,creative,7 Create a rope curtain or room divider,create a rope curtain or room divider,rope,rope,1.10867
7,8,creative,8 Use a rope to create a DIY plant hanger,use a rope to create a diy plant hanger,rope,rope,0.89511
8,9,creative,9 Create a rope sculpture or art piece,create a rope sculpture or art piece,rope,rope,0.88797
9,10,creative,10 Use a rope to create a DIY rope bridge,use a rope to create a diy rope bridge,rope,rope,1.10271
10,11,creative,1 Create a rope swing in your backyard for kids or adults to enjoy,create a rope swing in your backyard for kids or adults to enjoy,rope,rope,0.89487
11,12,creative,2 Use a rope to create a DIY hammock for relaxing in the sun,use a rope to create a diy hammock for relaxing in the sun,rope,rope,0.89793
12,13,creative,3 Make a rope ladder for a treehouse or loft bed,make a rope ladder for a treehouse or loft bed,rope,rope,0.88826
13,14,creative,4 Use a rope to create a DIY clothesline for drying clothes outside,use a rope to create a diy clothesline for drying clothes outside,rope,rope,1.10357
14,15,creative,5 Create a rope obstacle course for kids to play on,create a rope obstacle course for kids to play on,rope,rope,1.10597
15,16,creative,6 Use a rope to create a DIY dog leash or harness,use a rope to create a diy dog leash or harness,rope,rope,1.10082
16,17,creative,7 Create a rope curtain or room divider for a unique home decor element,create a rope curtain or room divider for a unique home decor element,rope,rope,1.1078999999999999
17,18,creative,8 Use a rope to create a DIY bird feeder or birdhouse,use a rope to create a diy bird feeder or birdhouse,rope,rope,1.10695
18,19,creative,9 Create a rope pulley system for lifting heavy objects or for a fun DIY zipline,create a rope pulley system for lifting heavy objects or for a fun diy zipline,rope,rope,1.1045
19,20,creative,10 Use a rope to create a DIY macrame plant hanger for your indoor plants,use a rope to create a diy macrame plant hanger for your indoor plants,rope,rope,0.89486
20,21,creative,1 Create a rope swing in your backyard or at a nearby park,create a rope swing in your backyard or at a nearby park,rope,rope,1.1051
21,22,creative,2 Use a rope to make a DIY hammock,use a rope to make a diy hammock,rope,rope,1.08497
22,23,creative,3 Tie a rope around a tree to create a makeshift clothesline,tie a rope around a tree to create a makeshift clothesline,rope,rope,1.1050200000000001
23,24,creative,4 Use a rope to create a DIY obstacle course for kids,use a rope to create a diy obstacle course for kids,rope,rope,1.10427
24,25,creative,5 Use a rope to create a DIY tugofwar game,use a rope to create a diy tugofwar game,rope,rope,0.89592
25,26,creative,6 Use a rope to create a DIY climbing wall,use a rope to create a diy climbing wall,rope,rope,1.10157
