...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Paintbrush Attach a sponge or cloth to the tines of the fork with rubber bands or tape to create an interesting texture brush for your artwork,paintbrush attach a sponge or cloth to the tines of the fork with rubber bands or tape to create an interesting texture brush for your artwork,fork,fork,1.05886
1,2,creative,2 Jewelry Organizer Insert the prongs of a fork into a corkboard and hang up your necklaces bracelets or earrings for an unusual homemade jewelry display,jewelry organizer insert the prongs of a fork into a corkboard and hang up your necklaces bracelets or earrings for an unusual homemade jewelry display,fork,fork,0.94114
2,3,creative,3 Plant Marker Use a fork as a creative plant marker by bending the middle prong upward to create a small clip Write the name of the plant on a small piece of paper or cardboard and clip it onto the bent prong,plant marker use a fork as a creative plant marker by bending the middle prong upward to create a small clip write the name of the plant on a small piece of paper or cardboard and clip it onto the bent prong,fork,fork,1.05886
3,4,creative,4 Pasta Portion Measurer Use the tines of a fork to measure your desired portion of pasta For example one serving of spaghetti may fit perfectly between the third and fourth tines This can help ensure you prepare the right amount each time,pasta portion measurer use the tines of a fork to measure your desired portion of pasta for example one serving of spaghetti may fit perfectly between the third and fourth tines this can help ensure you prepare the right amount each time,fork,fork,0.94114
4,5,creative,5 Cord Organizer Wrap and weave your electronic cords through the tines of a fork to keep them organized and prevent them from tangling This works particularly well for smaller cords like earphones or USB cables,cord organizer wrap and weave your electronic cords through the tines of a fork to keep them organized and prevent them from tangling this works particularly well for smaller cords like earphones or usb cables,fork,fork,0.94114
5,6,creative,6 Cake Decorating Tool Utilize the edge of a fork's prongs to create decorative patterns on the surface of cakes cookies or whipped cream Drag the prongs across the surface or use them to create neat lines or waves,cake decorating tool utilize the edge of a forks prongs to create decorative patterns on the surface of cakes cookies or whipped cream drag the prongs across the surface or use them to create neat lines or waves,fork,fork,1.05886
6,7,creative,7 Fruit Skewer Spear cubed fruit such as watermelon lemons or oranges onto the tines of a fork to create a fun bitesized skewer It makes for a unique presentation and an easy way to serve fruits,fruit skewer spear cubed fruit such as watermelon lemons or oranges onto the tines of a fork to create a fun bitesized skewer it makes for a unique presentation and an easy way to serve fruits,fork,fork,0.94065
7,8,creative,8 Bookmark Slide a fork effectively between pages in your book to save your place The wide handle of the fork not only keeps the prongs from getting lost inside the book but stands out as an interesting bookmark design,bookmark slide a fork effectively between pages in your book to save your place the wide handle of the fork not only keeps the prongs from getting lost inside the book but stands out as an interesting bookmark design,fork,fork,1.05886
8,9,creative,9 Food Presentation Tool Use a fork to plate your food in an artistic and visually pleasing manner Create elegant sauce swirls artistic swoops or symmetric patterns by spreading the food thinly with the base of the fork,food presentation tool use a fork to plate your food in an artistic and visually pleasing manner create elegant sauce swirls artistic swoops or symmetric patterns by spreading the food thinly with the base of the fork,fork,fork,1.05886
9,10,creative,10 Bubble Blower Dip the prongs of a fork into soapy water and blow through the spaces to create an exciting and multitudes of smaller bubbles instead of one large bubble This can be a fun activity for children,bubble blower dip the prongs of a fork into soapy water and blow through the spaces to create an exciting and multitudes of smaller bubbles instead of one large bubble this can be a fun activity for children,fork,fork,1.05879
10,11,creative,1 Interactive Art Use a fork as a paintbrush substitute to create interesting textures and patterns in paintings,interactive art use a fork as a paintbrush substitute to create interesting textures and patterns in paintings,fork,fork,0.94134
11,12,creative,2 Outdoor Plant Marker Placing a fork tines facing upwards next to small outdoor plants can deter animals from digging them up,outdoor plant marker placing a fork tines facing upwards next to small outdoor plants can deter animals from digging them up,fork,fork,1.05886
12,13,creative,3 Musical Instrument Attach metal or plastic objects to the tines of a fork then pluck or strike them to create unique sounds,musical instrument attach metal or plastic objects to the tines of a fork then pluck or strike them to create unique sounds,fork,fork,1.0590600000000001
13,14,creative,4 Cake Decorator Heat the tines of a metal fork and use it to create interesting patterns on the surface of frosted cakes,cake decorator heat the tines of a metal fork and use it to create interesting patterns on the surface of frosted cakes,fork,fork,0.94114
14,15,creative,5 Cable Organizer Wrap long cables around the handle of a fork making it easier to store and tanglefree,cable organizer wrap long cables around the handle of a fork making it easier to store and tanglefree,fork,fork,0.94124
15,16,creative,6 Photo Holder Bend the tines forward and shape them into small hooks then use the fork to hold photos notes or cards,photo holder bend the tines forward and shape them into small hooks then use the fork to hold photos notes or cards,fork,fork,0.94114
16,17,creative,7 Chip Clip Use the handle of a fork to securely seal bags of chips or snacks keeping them fresh and crisp,chip clip use the handle of a fork to securely seal bags of chips or snacks keeping them fresh and crisp,fork,fork,0.94052
17,18,creative,8 Emergency Hair Accessory In case of a hairpin emergency fashion the fork into a makeshift hairpin or hair accessory,emergency hair accessory in case of a hairpin emergency fashion the fork into a makeshift hairpin or hair accessory,fork,fork,0.94115
18,19,creative,9 Make a Fruit or Cheese Scoop Attach a handle to a special fork or pick to easily scoop out difficulttoreach fruit or cheese chunks,make a fruit or cheese scoop attach a handle to a special fork or pick to easily scoop out difficulttoreach fruit or cheese chunks,fork,fork,0.94114
19,20,creative,10 Miniature Light Fixture Mount a small LED light onto the handle of a fork to create an eyecatching and unique night light or decoration,miniature light fixture mount a small led light onto the handle of a fork to create an eyecatching and unique night light or decoration,fork,fork,0.94115
20,21,creative,1 Fork Easel Create a makeshift easel by placing a small canvas or photo frame between the prongs of the fork This unique display can add a touch of creativity to your desk or shelf,fork easel create a makeshift easel by placing a small canvas or photo frame between the prongs of the fork this unique display can add a touch of creativity to your desk or shelf,fork,fork,0.94114
21,22,creative,2 Food Separator Use the prongs of the fork to separate different ingredients on your plate keeping your food nice and organized,food separator use the prongs of the fork to separate different ingredients on your plate keeping your food nice and organized,fork,fork,0.94114
22,23,creative,3 Sound Amplifier Place your smartphone inside the curled opening of the fork to amplify the sound coming from the device speakers,sound amplifier place your smartphone inside the curled opening of the fork to amplify the sound coming from the device speakers,fork,fork,0.94136
23,24,creative,4 Stationery Holder Stand a fork upright on your desk or in a pencil cup and use it to hold pens pencils or even paintbrushes creating an unconventional holder,stationery holder stand a fork upright on your desk or in a pencil cup and use it to hold pens pencils or even paintbrushes creating an unconventional holder,fork,fork,0.94054
