...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Fork as a plant marker Use a fork to label your plants in the garden by sticking it into the soil with a tag attached to the prongs,fork as a plant marker use a fork to label your plants in the garden by sticking it into the soil with a tag attached to the prongs,fork,fork,0.94114
1,2,creative,2 Fork as a hair accessory Bend the prongs of a fork to create a unique hairpin or hair accessory,fork as a hair accessory bend the prongs of a fork to create a unique hairpin or hair accessory,fork,fork,0.9412
2,3,creative,3 Fork as a photo holder Attach a small clip to the back of a fork and use it to hold photos or notes on a corkboard or wall,fork as a photo holder attach a small clip to the back of a fork and use it to hold photos or notes on a corkboard or wall,fork,fork,0.94114
3,4,creative,4 Fork as a cord organizer Wrap your charging cables or headphones around the prongs of a fork to keep them tanglefree and organized,fork as a cord organizer wrap your charging cables or headphones around the prongs of a fork to keep them tanglefree and organized,fork,fork,0.94114
4,5,creative,5 Fork as a keychain Attach a small keyring to the handle of a fork and use it as a quirky keychain,fork as a keychain attach a small keyring to the handle of a fork and use it as a quirky keychain,fork,fork,1.05882
5,6,creative,6 Fork as a bookmark Slide a fork between the pages of a book to mark your place in a fun and unexpected way,fork as a bookmark slide a fork between the pages of a book to mark your place in a fun and unexpected way,fork,fork,1.05887
6,7,creative,7 Fork as a jewelry holder Hang necklaces or bracelets from the prongs of a fork to create a unique jewelry display,fork as a jewelry holder hang necklaces or bracelets from the prongs of a fork to create a unique jewelry display,fork,fork,1.05886
7,8,creative,8 Fork as a candle holder Stick a fork into a cork or piece of foam and place a small candle on top to create a makeshift candle holder,fork as a candle holder stick a fork into a cork or piece of foam and place a small candle on top to create a makeshift candle holder,fork,fork,0.94114
8,9,creative,9 Fork as a paintbrush holder Stick the handle of a paintbrush into the prongs of a fork to create a makeshift paintbrush holder while working on art projects,fork as a paintbrush holder stick the handle of a paintbrush into the prongs of a fork to create a makeshift paintbrush holder while working on art projects,fork,fork,1.05886
9,10,creative,10 Fork as a musical instrument Use a fork as a makeshift musical instrument by plucking the prongs or tapping it against a surface to create unique sounds,fork as a musical instrument use a fork as a makeshift musical instrument by plucking the prongs or tapping it against a surface to create unique sounds,fork,fork,1.05886
10,11,creative,1 Fork as a plant marker Use a fork to label your plants in the garden by sticking it into the soil with a tag attached to the prongs,fork as a plant marker use a fork to label your plants in the garden by sticking it into the soil with a tag attached to the prongs,fork,fork,0.94114
11,12,creative,2 Fork as a hair accessory Bend the prongs of a fork to create a unique hairpin or hair accessory,fork as a hair accessory bend the prongs of a fork to create a unique hairpin or hair accessory,fork,fork,0.9412
12,13,creative,3 Fork as a photo holder Attach a small clip to the back of a fork and use it to hold photos or notes on a corkboard or wall,fork as a photo holder attach a small clip to the back of a fork and use it to hold photos or notes on a corkboard or wall,fork,fork,0.94114
13,14,creative,4 Fork as a cord organizer Wrap your charging cables or headphones around the prongs of a fork to keep them tanglefree and organized,fork as a cord organizer wrap your charging cables or headphones around the prongs of a fork to keep them tanglefree and organized,fork,fork,0.94114
14,15,creative,5 Fork as a keychain Attach a small keyring to the handle of a fork and use it as a quirky keychain,fork as a keychain attach a small keyring to the handle of a fork and use it as a quirky keychain,fork,fork,1.05882
15,16,creative,6 Fork as a bookmark Slide a fork between the pages of a book to mark your place in a fun and unexpected way,fork as a bookmark slide a fork between the pages of a book to mark your place in a fun and unexpected way,fork,fork,1.05887
