...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Fork Easel Attach a small canvas or paper to the tines of a fork creating a mini easel This can be used for displaying small artworks or notes on a desk or table,fork easel attach a small canvas or paper to the tines of a fork creating a mini easel this can be used for displaying small artworks or notes on a desk or table,fork,fork,1.05886
1,2,creative,2 Fork Garden Marker Use a permanent marker to write the names of herbs or plants on the handle of a fork Stick the fork into the soil next to the corresponding plant creating a unique and functional garden marker,fork garden marker use a permanent marker to write the names of herbs or plants on the handle of a fork stick the fork into the soil next to the corresponding plant creating a unique and functional garden marker,fork,fork,0.94114
2,3,creative,3 Fork Photo Holder Bend the tines of a fork slightly backward and insert a small photograph or postcard between them This can be a fun and quirky way to display your favorite pictures on a shelf or desk,fork photo holder bend the tines of a fork slightly backward and insert a small photograph or postcard between them this can be a fun and quirky way to display your favorite pictures on a shelf or desk,fork,fork,0.94114
3,4,creative,4 Fork Doorstop If you have a lightweight door that tends to swing shut wedge the handle of a fork under it to hold it open The fork's handle will act as a stopper and prevent the door from closing,fork doorstop if you have a lightweight door that tends to swing shut wedge the handle of a fork under it to hold it open the forks handle will act as a stopper and prevent the door from closing,fork,fork,0.94114
4,5,creative,5 Fork Bookmarks Attach a ribbon or string to the handle of a fork and use it as a bookmark The tines can hang out from the book making it easy to find your page,fork bookmarks attach a ribbon or string to the handle of a fork and use it as a bookmark the tines can hang out from the book making it easy to find your page,fork,fork,0.94114
5,6,creative,6 Fork Cable Organizer Wrap small cables such as earphones or charger cords around the tines of a fork to keep them organized and tanglefree This is especially useful when traveling,fork cable organizer wrap small cables such as earphones or charger cords around the tines of a fork to keep them organized and tanglefree this is especially useful when traveling,fork,fork,1.05886
6,7,creative,7 Fork Hair Accessory Decorate a fork by wrapping colorful ribbons or strings around the handle Use it as a unique hairpin or hair accessory to add a touch of creativity to your hairstyle,fork hair accessory decorate a fork by wrapping colorful ribbons or strings around the handle use it as a unique hairpin or hair accessory to add a touch of creativity to your hairstyle,fork,fork,0.94114
7,8,creative,8 Fork Wind Chime Collect a few forks of different sizes and lengths Attach them to a sturdy base such as a wooden hoop or metal ring using strings or fishing line Hang the forks at different heights and let them create melodic sounds when the wind blows,fork wind chime collect a few forks of different sizes and lengths attach them to a sturdy base such as a wooden hoop or metal ring using strings or fishing line hang the forks at different heights and let them create melodic sounds when the wind blows,fork,fork,1.05886
8,9,creative,9 Fork Jewelry Holder Insert the handle of a fork into a small block of wood or corkboard Hang necklaces bracelets or earrings from the tines creating an unconventional jewelry holder,fork jewelry holder insert the handle of a fork into a small block of wood or corkboard hang necklaces bracelets or earrings from the tines creating an unconventional jewelry holder,fork,fork,1.05887
9,10,creative,10 Fork Drumsticks If you enjoy playing a makeshift drum set use forks as drumsticks The tines can produce a unique sound when struck against various surfaces creating an unusual percussion experience,fork drumsticks if you enjoy playing a makeshift drum set use forks as drumsticks the tines can produce a unique sound when struck against various surfaces creating an unusual percussion experience,fork,fork,1.05886
