...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Fork Garden Markers Use a fork to label your plants in the garden by sticking it into the soil with the prongs facing up Write the name of the plant on the handle or attach a small tag to it,fork garden markers use a fork to label your plants in the garden by sticking it into the soil with the prongs facing up write the name of the plant on the handle or attach a small tag to it,fork,fork,0.94114
1,2,creative,2 Fork Picture Holder Bend the prongs of a fork slightly and use it as a unique photo or note holder Place it on your desk or attach it to a corkboard,fork picture holder bend the prongs of a fork slightly and use it as a unique photo or note holder place it on your desk or attach it to a corkboard,fork,fork,0.94114
2,3,creative,3 Fork Hair Accessory Decorate a plain hairpin or hairband by attaching small decorative items to the prongs of a fork It can add a quirky touch to your hairstyle,fork hair accessory decorate a plain hairpin or hairband by attaching small decorative items to the prongs of a fork it can add a quirky touch to your hairstyle,fork,fork,0.94114
3,4,creative,4 Fork Candle Holder Insert a small candle into the prongs of a fork and place it on a flat surface The fork acts as a stable and interesting candle holder,fork candle holder insert a small candle into the prongs of a fork and place it on a flat surface the fork acts as a stable and interesting candle holder,fork,fork,0.94114
4,5,creative,5 Fork Bookmarks Attach a ribbon or string to the handle of a fork and use it as a bookmark The prongs can hang outside the book making it easy to find your page,fork bookmarks attach a ribbon or string to the handle of a fork and use it as a bookmark the prongs can hang outside the book making it easy to find your page,fork,fork,1.05886
5,6,creative,6 Fork Jewelry Stand Stick several forks into a small wooden base or block of clay to create a unique jewelry stand Hang necklaces bracelets or earrings from the prongs,fork jewelry stand stick several forks into a small wooden base or block of clay to create a unique jewelry stand hang necklaces bracelets or earrings from the prongs,fork,fork,1.05886
6,7,creative,7 Fork Plant Prop Use a fork to support the stems of tall plants or flowers Gently insert the prongs into the soil near the stem providing extra stability,fork plant prop use a fork to support the stems of tall plants or flowers gently insert the prongs into the soil near the stem providing extra stability,fork,fork,1.05886
7,8,creative,8 Fork Utensil Holder Attach a few forks together with a rubber band or ribbon creating a small loop at the top Hang it on a hook or nail to hold utensils in the kitchen,fork utensil holder attach a few forks together with a rubber band or ribbon creating a small loop at the top hang it on a hook or nail to hold utensils in the kitchen,fork,fork,0.94114
8,9,creative,9 Fork Phone Stand Bend the prongs of a fork to create a stand for your phone or tablet It can hold your device at a comfortable viewing angle while you watch videos or video chat,fork phone stand bend the prongs of a fork to create a stand for your phone or tablet it can hold your device at a comfortable viewing angle while you watch videos or video chat,fork,fork,1.05886
9,10,creative,10 Fork Art Dip the prongs of a fork into paint and use it as a stamp to create unique patterns on paper or fabric Experiment with different colors and textures to make interesting artwork,fork art dip the prongs of a fork into paint and use it as a stamp to create unique patterns on paper or fabric experiment with different colors and textures to make interesting artwork,fork,fork,1.05885
10,11,creative,1 Fork Garden Markers Use a fork to label your plants in the garden by sticking it into the soil with the prongs facing up Write the name of the plant on the handle or attach a small tag to it,fork garden markers use a fork to label your plants in the garden by sticking it into the soil with the prongs facing up write the name of the plant on the handle or attach a small tag to it,fork,fork,0.94114
11,12,creative,2 Fork Picture Holder Bend the prongs of a fork slightly and use it as a unique photo or note holder Place it on your desk or attach it to a corkboard,fork picture holder bend the prongs of a fork slightly and use it as a unique photo or note holder place it on your desk or attach it to a corkboard,fork,fork,0.94114
12,13,creative,3 Fork Hair Accessory Decorate a plain hairpin or hairband by attaching small decorative items to the prongs of a fork It can add a quirky touch to your hairstyle,fork hair accessory decorate a plain hairpin or hairband by attaching small decorative items to the prongs of a fork it can add a quirky touch to your hairstyle,fork,fork,0.94114
13,14,creative,4 Fork Candle Holder Stick a fork into a cork or a piece of clay and place a small tea light candle on top of the prongs This creates an interesting and unconventional candle holder,fork candle holder stick a fork into a cork or a piece of clay and place a small tea light candle on top of the prongs this creates an interesting and unconventional candle holder,fork,fork,1.05886
14,15,creative,5 Fork Bookmarks Attach a ribbon or string to the handle of a fork and use it as a bookmark The prongs can hang outside the book making it easy to find your page,fork bookmarks attach a ribbon or string to the handle of a fork and use it as a bookmark the prongs can hang outside the book making it easy to find your page,fork,fork,1.05886
15,16,creative,6 Fork Jewelry Stand Stick several forks into a piece of wood or a block of clay to create a unique jewelry stand Hang necklaces bracelets or earrings on the prongs,fork jewelry stand stick several forks into a piece of wood or a block of clay to create a unique jewelry stand hang necklaces bracelets or earrings on the prongs,fork,fork,0.94114
16,17,creative,7 Fork Phone Stand Bend the prongs of a fork to create a stand for your phone or tablet It can hold your device at a comfortable viewing angle while you watch videos or video chat,fork phone stand bend the prongs of a fork to create a stand for your phone or tablet it can hold your device at a comfortable viewing angle while you watch videos or video chat,fork,fork,1.05886
17,18,creative,8 Fork Herb Stripper Use the prongs of a fork to strip leaves from herbs such as thyme or rosemary Hold the fork upside down and pull the stem through the prongs to remove the leaves easily,fork herb stripper use the prongs of a fork to strip leaves from herbs such as thyme or rosemary hold the fork upside down and pull the stem through the prongs to remove the leaves easily,fork,fork,0.94114
